x,y
334.8,254.0
334.8,253.0
335.0,252.8
336.0,252.8
336.8,252.0
336.8,251.0
337.0,250.8
338.0,250.8
339.0,250.8
340.0,250.8
341.0,250.8
342.0,250.8
343.0,250.8
343.8,250.0
343.8,249.0
344.0,248.8
344.8,248.0
344.8,247.0
345.0,246.8
345.8,246.0
346.0,245.8
347.0,245.8
348.0,245.8
349.0,245.8
350.0,245.8
350.8,245.0
351.0,244.8
351.8,244.0
351.8,243.0
351.8,242.0
351.8,241.0
351.8,240.0
351.8,239.0
352.0,238.8
352.8,238.0
352.8,237.0
352.8,236.0
352.8,235.0
352.8,234.0
352.8,233.0
352.8,232.0
352.0,231.2
351.8,231.0
351.0,230.2
350.8,230.0
350.0,229.2
349.8,229.0
349.8,228.0
349.0,227.2
348.8,227.0
348.8,226.0
348.8,225.0
348.0,224.2
347.8,224.0
347.8,223.0
347.0,222.2
346.8,222.0
346.0,221.2
345.8,221.0
345.8,220.0
345.0,219.2
344.8,219.0
344.8,218.0
344.0,217.2
343.8,217.0
343.0,216.2
342.8,216.0
342.8,215.0
342.0,214.2
341.8,214.0
341.0,213.2
340.8,213.0
340.0,212.2
339.8,212.0
339.0,211.2
338.8,211.0
338.0,210.2
337.8,210.0
337.0,209.2
336.8,209.0
336.8,208.0
336.0,207.2
335.0,207.2
334.8,207.0
334.0,206.2
333.8,206.0
333.0,205.2
332.8,205.0
332.0,204.2
331.8,204.0
331.0,203.2
330.8,203.0
330.0,202.2
329.8,202.0
329.8,201.0
329.0,200.2
328.8,200.0
328.8,199.0
328.0,198.2
327.8,198.0
327.8,197.0
327.8,196.0
327.8,195.0
327.0,194.2
326.8,194.0
326.8,193.0
326.0,192.2
325.8,192.0
325.0,191.2
324.8,191.0
324.0,190.2
323.8,190.0
323.0,189.2
322.8,189.0
322.0,188.2
321.8,188.0
321.0,187.2
320.8,187.0
320.0,186.2
319.0,186.2
318.0,186.2
317.0,186.2
316.2,187.0
317.0,187.8
317.2,188.0
317.0,188.2
316.2,189.0
316.2,190.0
316.0,190.2
315.2,191.0
315.0,191.2
314.8,191.0
314.0,190.2
313.8,190.0
313.0,189.2
312.0,189.2
311.8,189.0
311.0,188.2
310.0,188.2
309.8,188.0
309.0,187.2
308.8,187.0
308.0,186.2
307.0,186.2
306.8,186.0
306.0,185.2
305.0,185.2
304.8,185.0
304.0,184.2
303.8,184.0
303.0,183.2
302.8,183.0
302.0,182.2
301.8,182.0
301.0,181.2
300.8,181.0
300.8,180.0
300.0,179.2
299.0,179.2
298.8,179.0
298.0,178.2
297.0,178.2
296.8,178.0
296.0,177.2
295.0,177.2
294.0,177.2
293.0,177.2
292.8,177.0
292.0,176.2
291.8,176.0
291.8,175.0
291.0,174.2
290.8,174.0
290.0,173.2
289.0,173.2
288.0,173.2
287.8,173.0
287.0,172.2
286.2,173.0
286.0,173.2
285.0,173.2
284.2,174.0
284.2,175.0
284.2,176.0
284.2,177.0
284.2,178.0
284.2,179.0
284.0,179.2
283.0,179.2
282.0,179.2
281.0,179.2
280.8,179.0
280.0,178.2
279.0,178.2
278.8,178.0
278.0,177.2
277.0,177.2
276.0,177.2
275.0,177.2
274.8,177.0
274.0,176.2
273.8,176.0
273.0,175.2
272.8,175.0
272.0,174.2
271.0,174.2
270.8,174.0
270.0,173.2
269.8,173.0
269.0,172.2
268.0,172.2
267.8,172.0
267.0,171.2
266.0,171.2
265.0,171.2
264.0,171.2
263.0,171.2
262.0,171.2
261.0,171.2
260.2,172.0
260.0,172.2
259.2,173.0
260.0,173.8
260.2,174.0
260.2,175.0
260.2,176.0
261.0,176.8
261.2,177.0
261.0,177.2
260.0,177.2
259.0,177.2
258.8,177.0
258.0,176.2
257.0,176.2
256.8,176.0
256.0,175.2
255.8,175.0
255.0,174.2
254.0,174.2
253.8,174.0
253.0,173.2
252.0,173.2
251.8,173.0
251.0,172.2
