x,y
429.8,93.0
430.0,92.8
430.8,92.0
431.0,91.8
431.8,91.0
432.0,90.8
432.8,90.0
433.0,89.8
433.8,89.0
434.0,88.8
434.8,88.0
435.0,87.8
435.8,87.0
435.8,86.0
436.0,85.8
436.8,85.0
436.8,84.0
436.0,83.2
435.8,83.0
435.8,82.0
435.0,81.2
434.8,81.0
434.0,80.2
433.8,80.0
433.8,79.0
433.8,78.0
433.0,77.2
432.8,77.0
432.0,76.2
431.8,76.0
431.8,75.0
431.8,74.0
431.0,73.2
430.8,73.0
430.8,72.0
430.0,71.2
429.0,71.2
428.8,71.0
428.8,70.0
428.0,69.2
427.8,69.0
427.8,68.0
427.8,67.0
427.0,66.2
426.8,66.0
426.0,65.2
425.8,65.0
425.8,64.0
425.8,63.0
425.0,62.2
424.8,62.0
424.0,61.2
423.8,61.0
423.8,60.0
423.8,59.0
423.0,58.2
422.8,58.0
422.0,57.2
421.8,57.0
421.8,56.0
421.8,55.0
421.0,54.2
420.0,54.2
419.8,54.0
419.8,53.0
419.8,52.0
419.8,51.0
419.0,50.2
418.8,50.0
418.0,49.2
417.8,49.0
418.0,48.8
419.0,48.8
420.0,48.8
420.2,49.0
421.0,49.8
422.0,49.8
423.0,49.8
424.0,49.8
425.0,49.8
426.0,49.8
427.0,49.8
428.0,49.8
429.0,49.8
429.2,50.0
430.0,50.8
430.8,50.0
431.0,49.8
431.8,49.0
431.8,48.0
431.8,47.0
431.8,46.0
431.8,45.0
431.8,44.0
431.8,43.0
431.8,42.0
432.0,41.8
432.8,41.0
432.8,40.0
432.8,39.0
432.8,38.0
432.0,37.2
431.8,37.0
431.8,36.0
431.8,35.0
431.8,34.0
431.8,33.0
431.8,32.0
431.8,31.0
431.0,30.2
430.0,30.2
429.8,30.0
429.0,29.2
428.8,29.0
428.0,28.2
427.8,28.0
427.0,27.2
426.8,27.0
426.0,26.2
425.8,26.0
425.8,25.0
425.0,24.2
424.8,24.0
424.8,23.0
424.0,22.2
423.0,22.2
422.0,22.2
421.0,22.2
420.0,22.2
419.0,22.2
418.0,22.2
417.8,22.0
417.0,21.2
416.8,21.0
416.0,20.2
415.8,20.0
415.0,19.2
414.0,19.2
413.8,19.0
413.0,18.2
412.8,18.0
412.0,17.2
411.0,17.2
410.8,17.0
410.0,16.2
409.0,16.2
408.0,16.2
407.0,16.2
406.0,16.2
405.8,16.0
405.0,15.2
404.8,15.0
404.0,14.2
403.0,14.2
402.0,14.2
401.0,14.2
400.0,14.2
399.0,14.2
398.0,14.2
397.2,15.0
397.0,15.2
396.2,16.0
396.2,17.0
396.0,17.2
395.2,18.0
395.0,18.2
394.0,18.2
393.8,18.0
393.0,17.2
392.8,17.0
392.0,16.2
391.0,16.2
390.8,16.0
390.8,15.0
390.0,14.2
389.8,14.0
389.0,13.2
388.8,13.0
388.0,12.2
387.2,13.0
387.2,14.0
387.2,15.0
387.2,16.0
387.2,17.0
387.2,18.0
387.0,18.2
386.0,18.2
385.0,18.2
384.0,18.2
383.0,18.2
382.0,18.2
381.2,19.0
381.2,20.0
381.0,20.2
380.0,20.2
379.2,21.0
379.2,22.0
379.0,22.2
378.0,22.2
377.0,22.2
376.0,22.2
375.2,23.0
375.0,23.2
374.0,23.2
373.2,24.0
373.2,25.0
373.2,26.0
373.2,27.0
373.2,28.0
373.2,29.0
374.0,29.8
374.2,30.0
374.2,31.0
374.0,31.2
373.0,31.2
372.0,31.2
371.0,31.2
370.8,31.0
370.0,30.2
369.2,31.0
369.2,32.0
369.2,33.0
369.2,34.0
370.0,34.8
370.2,35.0
371.0,35.8
371.2,36.0
371.2,37.0
371.0,37.2
370.0,37.2
369.0,37.2
368.2,38.0
368.0,38.2
367.0,38.2
366.0,38.2
365.0,38.2
364.2,39.0
364.0,39.2
363.2,40.0
363.0,40.2
362.2,41.0
362.2,42.0
363.0,42.8
364.0,42.8
365.0,42.8
366.0,42.8
366.2,43.0
367.0,43.8
367.2,44.0
367.2,45.0
367.0,45.2
366.2,46.0
366.0,46.2
365.0,46.2
364.2,47.0
364.2,48.0
364.0,48.2
363.2,49.0
363.0,49.2
362.2,50.0
362.2,51.0
363.0,51.8
363.2,52.0
363.2,53.0
363.2,54.0
363.2,55.0
364.0,55.8
365.0,55.8
366.0,55.8
367.0,55.8
367.2,56.0
368.0,56.8
369.0,56.8
369.2,57.0
369.2,58.0
369.0,58.2
