x,y
454.8,372.0
455.0,371.8
456.0,371.8
457.0,371.8
457.8,371.0
458.0,370.8
459.0,370.8
459.8,370.0
459.8,369.0
460.0,368.8
460.8,368.0
461.0,367.8
461.8,367.0
462.0,366.8
462.8,366.0
462.8,365.0
463.0,364.8
463.8,364.0
463.8,363.0
464.0,362.8
464.8,362.0
464.8,361.0
464.8,360.0
464.8,359.0
464.8,358.0
464.8,357.0
464.8,356.0
464.8,355.0
464.8,354.0
464.8,353.0
464.8,352.0
464.8,351.0
464.8,350.0
464.8,349.0
464.8,348.0
464.8,347.0
464.8,346.0
464.0,345.2
463.8,345.0
463.8,344.0
463.8,343.0
463.8,342.0
463.8,341.0
463.8,340.0
463.8,339.0
463.8,338.0
463.0,337.2
462.8,337.0
462.8,336.0
462.8,335.0
462.8,334.0
462.8,333.0
462.8,332.0
463.0,331.8
463.8,331.0
463.8,330.0
464.0,329.8
464.8,329.0
464.8,328.0
464.8,327.0
464.8,326.0
464.8,325.0
464.0,324.2
463.0,324.2
462.0,324.2
461.2,325.0
461.2,326.0
461.0,326.2
460.8,326.0
460.8,325.0
460.8,324.0
460.8,323.0
460.8,322.0
460.8,321.0
460.0,320.2
459.0,320.2
458.2,321.0
458.0,321.2
457.0,321.2
456.2,322.0
456.2,323.0
456.0,323.2
455.0,323.2
454.8,323.0
454.8,322.0
454.8,321.0
454.0,320.2
453.0,320.2
452.8,320.0
452.0,319.2
451.0,319.2
450.0,319.2
449.2,320.0
449.0,320.2
448.0,320.2
447.2,321.0
447.2,322.0
447.2,323.0
447.0,323.2
446.0,323.2
445.0,323.2
444.0,323.2
443.0,323.2
442.0,323.2
441.0,323.2
440.0,323.2
439.2,324.0
439.2,325.0
439.2,326.0
440.0,326.8
440.2,327.0
441.0,327.8
441.2,328.0
442.0,328.8
442.2,329.0
442.2,330.0
442.2,331.0
442.2,332.0
442.2,333.0
442.2,334.0
442.2,335.0
442.2,336.0
442.2,337.0
442.0,337.2
441.2,338.0
441.2,339.0
441.0,339.2
440.2,340.0
440.0,340.2
439.2,341.0
439.2,342.0
439.2,343.0
439.0,343.2
438.2,344.0
438.0,344.2
437.2,345.0
437.2,346.0
437.0,346.2
436.2,347.0
436.2,348.0
436.0,348.2
435.2,349.0
435.2,350.0
435.2,351.0
435.0,351.2
434.2,352.0
435.0,352.8
435.2,353.0
435.2,354.0
435.2,355.0
435.0,355.2
434.2,356.0
435.0,356.8
435.2,357.0
435.2,358.0
435.2,359.0
435.2,360.0
435.2,361.0
435.2,362.0
436.0,362.8
436.2,363.0
436.2,364.0
437.0,364.8
437.2,365.0
438.0,365.8
439.0,365.8
439.2,366.0
440.0,366.8
440.2,367.0
441.0,367.8
441.2,368.0
442.0,368.8
442.2,369.0
443.0,369.8
444.0,369.8
444.2,370.0
445.0,370.8
445.2,371.0
446.0,371.8
447.0,371.8
447.2,372.0
448.0,372.8
449.0,372.8
450.0,372.8
451.0,372.8
452.0,372.8
453.0,372.8
454.0,372.8
454.8,372.0
