x,y
567.8,473.0
568.0,472.8
568.8,472.0
569.0,471.8
569.8,471.0
570.0,470.8
571.0,470.8
571.8,470.0
572.0,469.8
572.8,469.0
572.8,468.0
572.8,467.0
573.0,466.8
573.8,466.0
573.8,465.0
573.8,464.0
573.8,463.0
573.8,462.0
573.8,461.0
573.8,460.0
573.8,459.0
573.8,458.0
573.8,457.0
573.8,456.0
573.8,455.0
573.8,454.0
574.0,453.8
574.8,453.0
574.8,452.0
574.8,451.0
574.8,450.0
574.8,449.0
574.8,448.0
574.8,447.0
574.8,446.0
574.8,445.0
574.8,444.0
574.8,443.0
575.0,442.8
575.8,442.0
575.8,441.0
575.8,440.0
575.8,439.0
575.8,438.0
575.8,437.0
576.0,436.8
576.8,436.0
576.8,435.0
576.8,434.0
576.8,433.0
576.8,432.0
577.0,431.8
577.8,431.0
578.0,430.8
579.0,430.8
580.0,430.8
580.2,431.0
581.0,431.8
581.2,432.0
582.0,432.8
582.2,433.0
583.0,433.8
583.2,434.0
584.0,434.8
584.2,435.0
585.0,435.8
585.2,436.0
586.0,436.8
586.2,437.0
586.2,438.0
587.0,438.8
588.0,438.8
588.8,438.0
589.0,437.8
589.8,437.0
590.0,436.8
590.8,436.0
591.0,435.8
591.8,435.0
592.0,434.8
593.0,434.8
594.0,434.8
595.0,434.8
595.8,434.0
596.0,433.8
597.0,433.8
597.8,433.0
597.8,432.0
597.0,431.2
596.8,431.0
596.0,430.2
595.8,430.0
596.0,429.8
597.0,429.8
598.0,429.8
598.8,429.0
599.0,428.8
599.8,428.0
600.0,427.8
600.8,427.0
600.8,426.0
600.8,425.0
601.0,424.8
602.0,424.8
602.8,424.0
602.8,423.0
602.8,422.0
602.0,421.2
601.8,421.0
601.8,420.0
601.8,419.0
601.8,418.0
601.8,417.0
601.8,416.0
601.8,415.0
601.8,414.0
601.8,413.0
601.8,412.0
602.0,411.8
602.8,411.0
602.8,410.0
602.8,409.0
602.8,408.0
602.8,407.0
602.0,406.2
601.8,406.0
602.0,405.8
602.8,405.0
602.8,404.0
602.8,403.0
602.8,402.0
602.0,401.2
601.8,401.0
601.0,400.2
600.0,400.2
599.8,400.0
600.0,399.8
600.8,399.0
600.8,398.0
600.8,397.0
600.0,396.2
599.8,396.0
599.8,395.0
599.0,394.2
598.0,394.2
597.0,394.2
596.8,394.0
596.0,393.2
595.0,393.2
594.8,393.0
594.0,392.2
593.8,392.0
593.8,391.0
593.0,390.2
592.8,390.0
592.0,389.2
591.8,389.0
591.0,388.2
590.0,388.2
589.8,388.0
589.8,387.0
589.8,386.0
589.8,385.0
589.0,384.2
588.8,384.0
588.0,383.2
587.0,383.2
586.8,383.0
586.0,382.2
585.2,383.0
585.0,383.2
584.8,383.0
584.0,382.2
583.8,382.0
583.8,381.0
583.0,380.2
582.8,380.0
582.0,379.2
581.0,379.2
580.0,379.2
579.0,379.2
578.0,379.2
577.8,379.0
577.0,378.2
576.8,378.0
576.0,377.2
575.0,377.2
574.0,377.2
573.2,378.0
573.2,379.0
573.0,379.2
572.0,379.2
571.0,379.2
570.0,379.2
569.0,379.2
568.2,380.0
568.0,380.2
567.2,381.0
567.2,382.0
567.2,383.0
567.0,383.2
566.8,383.0
566.8,382.0
566.8,381.0
566.0,380.2
565.8,380.0
565.0,379.2
564.2,380.0
564.0,380.2
563.0,380.2
562.2,381.0
562.0,381.2
561.0,381.2
560.8,381.0
560.0,380.2
559.8,380.0
559.0,379.2
558.8,379.0
558.0,378.2
557.0,378.2
556.0,378.2
555.2,379.0
555.2,380.0
555.0,380.2
554.2,381.0
554.2,382.0
554.0,382.2
553.0,382.2
552.0,382.2
551.0,382.2
550.0,382.2
549.2,383.0
549.0,383.2
548.2,384.0
548.2,385.0
548.0,385.2
547.8,385.0
547.0,384.2
546.0,384.2
545.0,384.2
544.0,384.2
543.2,385.0
543.0,385.2
542.2,386.0
542.2,387.0
