x,y
568.8,651.0
569.0,650.8
570.0,650.8
570.8,650.0
570.8,649.0
570.8,648.0
571.0,647.8
571.8,647.0
571.8,646.0
572.0,645.8
572.8,645.0
572.8,644.0
573.0,643.8
573.8,643.0
574.0,642.8
574.8,642.0
574.8,641.0
575.0,640.8
575.8,640.0
575.8,639.0
576.0,638.8
576.8,638.0
576.8,637.0
577.0,636.8
577.8,636.0
577.8,635.0
577.8,634.0
578.0,633.8
578.8,633.0
578.8,632.0
579.0,631.8
579.8,631.0
579.8,630.0
579.8,629.0
579.8,628.0
580.0,627.8
580.8,627.0
580.8,626.0
580.8,625.0
581.0,624.8
581.8,624.0
581.8,623.0
582.0,622.8
582.8,622.0
582.8,621.0
583.0,620.8
583.8,620.0
583.8,619.0
584.0,618.8
584.8,618.0
584.8,617.0
584.8,616.0
585.0,615.8
585.8,615.0
585.8,614.0
586.0,613.8
586.8,613.0
586.8,612.0
586.8,611.0
587.0,610.8
587.8,610.0
587.8,609.0
587.8,608.0
587.8,607.0
587.8,606.0
588.0,605.8
588.8,605.0
588.8,604.0
588.8,603.0
588.8,602.0
588.8,601.0
589.0,600.8
589.8,600.0
589.8,599.0
590.0,598.8
590.8,598.0
591.0,597.8
591.8,597.0
592.0,596.8
592.8,596.0
593.0,595.8
593.8,595.0
594.0,594.8
595.0,594.8
595.8,594.0
596.0,593.8
596.8,593.0
597.0,592.8
598.0,592.8
598.8,592.0
599.0,591.8
600.0,591.8
600.8,591.0
601.0,590.8
601.8,590.0
601.8,589.0
602.0,588.8
602.8,588.0
603.0,587.8
603.8,587.0
604.0,586.8
604.8,586.0
605.0,585.8
605.8,585.0
605.8,584.0
605.0,583.2
604.0,583.2
603.2,584.0
603.0,584.2
602.2,585.0
602.0,585.2
601.0,585.2
600.2,586.0
600.0,586.2
599.0,586.2
598.2,587.0
598.0,587.2
597.2,588.0
597.0,588.2
596.2,589.0
596.0,589.2
595.2,590.0
595.0,590.2
594.0,590.2
593.2,591.0
593.0,591.2
592.2,592.0
592.0,592.2
591.2,593.0
591.0,593.2
590.0,593.2
589.2,594.0
589.0,594.2
588.2,595.0
588.0,595.2
587.2,596.0
587.0,596.2
586.2,597.0
586.0,597.2
585.2,598.0
585.2,599.0
585.0,599.2
584.2,600.0
584.0,600.2
583.0,600.2
582.2,601.0
582.0,601.2
581.0,601.2
580.2,602.0
580.0,602.2
579.2,603.0
579.0,603.2
578.0,603.2
577.2,604.0
577.0,604.2
576.2,605.0
576.0,605.2
575.0,605.2
574.2,606.0
574.0,606.2
573.2,607.0
573.2,608.0
573.2,609.0
573.0,609.2
572.2,610.0
572.2,611.0
572.0,611.2
571.2,612.0
571.2,613.0
571.0,613.2
570.2,614.0
570.2,615.0
570.0,615.2
569.2,616.0
569.2,617.0
569.0,617.2
568.2,618.0
568.0,618.2
567.2,619.0
567.0,619.2
566.2,620.0
566.2,621.0
566.0,621.2
565.2,622.0
565.2,623.0
565.0,623.2
564.2,624.0
564.2,625.0
564.0,625.2
563.2,626.0
563.2,627.0
563.0,627.2
562.2,628.0
562.0,628.2
561.2,629.0
561.2,630.0
561.2,631.0
561.2,632.0
561.0,632.2
560.2,633.0
560.2,634.0
560.2,635.0
560.0,635.2
559.2,636.0
559.2,637.0
559.2,638.0
559.2,639.0
559.2,640.0
559.2,641.0
559.2,642.0
559.2,643.0
559.2,644.0
559.2,645.0
559.2,646.0
559.2,647.0
559.2,648.0
559.2,649.0
559.2,650.0
560.0,650.8
560.2,651.0
561.0,651.8
562.0,651.8
563.0,651.8
564.0,651.8
565.0,651.8
566.0,651.8
567.0,651.8
568.0,651.8
568.8,651.0
