x,y
293.8,799.0
293.8,798.0
293.8,797.0
294.0,796.8
294.2,797.0
294.2,798.0
295.0,798.8
295.8,798.0
295.8,797.0
295.0,796.2
294.8,796.0
294.8,795.0
295.0,794.8
295.8,794.0
295.0,793.2
294.8,793.0
294.0,792.2
293.8,792.0
293.0,791.2
292.8,791.0
293.0,790.8
294.0,790.8
294.8,790.0
294.0,789.2
293.0,789.2
292.0,789.2
291.0,789.2
290.0,789.2
289.8,789.0
289.8,788.0
289.8,787.0
289.0,786.2
288.2,787.0
288.2,788.0
288.2,789.0
288.0,789.2
287.0,789.2
286.8,789.0
286.0,788.2
285.0,788.2
284.8,788.0
284.0,787.2
283.0,787.2
282.8,787.0
282.0,786.2
281.8,786.0
281.8,785.0
282.0,784.8
283.0,784.8
283.8,784.0
283.0,783.2
282.0,783.2
281.8,783.0
282.0,782.8
282.8,782.0
282.0,781.2
281.0,781.2
280.8,781.0
280.8,780.0
280.8,779.0
280.0,778.2
279.0,778.2
278.0,778.2
277.8,778.0
277.8,777.0
278.0,776.8
278.2,777.0
279.0,777.8
280.0,777.8
281.0,777.8
281.2,778.0
281.2,779.0
282.0,779.8
282.8,779.0
282.8,778.0
282.0,777.2
281.8,777.0
281.8,776.0
281.0,775.2
280.0,775.2
279.0,775.2
278.0,775.2
277.2,776.0
277.0,776.2
276.0,776.2
275.8,776.0
275.8,775.0
275.0,774.2
274.8,774.0
274.0,773.2
273.8,773.0
273.8,772.0
273.0,771.2
272.0,771.2
271.8,771.0
271.8,770.0
271.8,769.0
271.8,768.0
271.0,767.2
270.0,767.2
269.2,768.0
269.0,768.2
268.8,768.0
268.0,767.2
267.8,767.0
267.0,766.2
266.0,766.2
265.0,766.2
264.2,767.0
264.0,767.2
263.0,767.2
262.8,767.0
262.8,766.0
262.0,765.2
261.0,765.2
260.8,765.0
260.0,764.2
259.8,764.0
260.0,763.8
260.8,763.0
260.8,762.0
260.8,761.0
260.0,760.2
259.0,760.2
258.0,760.2
257.0,760.2
256.8,760.0
256.0,759.2
255.0,759.2
254.2,760.0
254.0,760.2
253.8,760.0
253.0,759.2
252.2,760.0
252.0,760.2
251.2,761.0
251.0,761.2
250.8,761.0
250.8,760.0
250.0,759.2
249.0,759.2
248.8,759.0
248.8,758.0
248.0,757.2
247.8,757.0
247.8,756.0
247.8,755.0
247.8,754.0
247.0,753.2
246.0,753.2
245.2,754.0
245.2,755.0
245.0,755.2
244.2,756.0
244.0,756.2
243.8,756.0
243.0,755.2
242.0,755.2
241.0,755.2
240.0,755.2
239.8,755.0
239.8,754.0
239.0,753.2
238.2,754.0
238.2,755.0
238.2,756.0
239.0,756.8
239.2,757.0
239.2,758.0
239.2,759.0
239.0,759.2
238.0,759.2
237.0,759.2
236.0,759.2
235.0,759.2
234.0,759.2
233.0,759.2
232.0,759.2
231.8,759.0
231.0,758.2
230.2,759.0
230.2,760.0
230.2,761.0
230.2,762.0
230.0,762.2
229.8,762.0
229.8,761.0
229.0,760.2
228.2,761.0
228.2,762.0
229.0,762.8
229.2,763.0
229.2,764.0
229.2,765.0
229.2,766.0
229.0,766.2
228.0,766.2
227.8,766.0
227.8,765.0
227.8,764.0
227.0,763.2
226.8,763.0
226.8,762.0
226.8,761.0
226.0,760.2
225.2,761.0
225.0,761.2
224.8,761.0
224.0,760.2
223.0,760.2
222.8,760.0
222.8,759.0
222.0,758.2
221.2,759.0
221.0,759.2
220.2,760.0
220.0,760.2
219.2,761.0
219.2,762.0
219.0,762.2
218.0,762.2
217.0,762.2
216.8,762.0
217.0,761.8
218.0,761.8
218.8,761.0
218.0,760.2
217.0,760.2
216.0,760.2
215.2,761.0
215.0,761.2
214.8,761.0
214.0,760.2
213.0,760.2
212.8,760.0
212.0,759.2
211.8,759.0
211.0,758.2
210.0,758.2
209.8,758.0
209.8,757.0
209.0,756.2
208.0,756.2
207.0,756.2
206.8,756.0
207.0,755.8
207.8,755.0
207.0,754.2
206.8,754.0
206.0,753.2
205.0,753.2
204.0,753.2
203.0,753.2
202.2,754.0
202.2,755.0
203.0,755.8
203.8,755.0
204.0,754.8
204.2,755.0
205.0,755.8
205.2,756.0
205.2,757.0
205.0,757.2
204.2,758.0
204.2,759.0
204.0,759.2
203.2,760.0
204.0,760.8
204.2,761.0
204.2,762.0
204.0,762.2
203.2,763.0
203.2,764.0
203.0,764.2
202.2,765.0
202.2,766.0
202.0,766.2
201.0,766.2
200.0,766.2
199.0,766.2
198.0,766.2
197.0,766.2
196.0,766.2
195.0,766.2
194.0,766.2
193.0,766.2
192.2,767.0
192.0,767.2
191.2,768.0
191.0,768.2
190.2,769.0
190.0,769.2
189.0,769.2
188.0,769.2
187.2,770.0
187.0,770.2
186.0,770.2
185.0,770.2
184.8,770.0
184.0,769.2
183.2,770.0
183.0,770.2
182.0,770.2
181.0,770.2
180.2,771.0
180.2,772.0
180.0,772.2
179.0,772.2
178.2,773.0
178.2,774.0
178.2,775.0
178.0,775.2
177.0,775.2
176.2,776.0
176.2,777.0
176.0,777.2
175.8,777.0
175.8,776.0
175.8,775.0
175.0,774.2
174.2,775.0
174.0,775.2
173.2,776.0
173.0,776.2
172.8,776.0
172.0,775.2
171.2,776.0
171.2,777.0
171.0,777.2
170.0,777.2
169.8,777.0
169.8,776.0
169.0,775.2
168.2,776.0
168.0,776.2
167.0,776.2
166.2,777.0
167.0,777.8
167.2,778.0
167.0,778.2
166.2,779.0
167.0,779.8
167.2,780.0
167.0,780.2
166.2,781.0
167.0,781.8
167.2,782.0
167.0,782.2
166.2,783.0
167.0,783.8
167.2,784.0
167.2,785.0
167.2,786.0
167.2,787.0
167.2,788.0
168.0,788.8
169.0,788.8
169.2,789.0
169.2,790.0
169.2,791.0
169.0,791.2
168.2,792.0
168.0,792.2
167.2,793.0
167.0,793.2
166.0,793.2
165.2,794.0
165.0,794.2
164.2,795.0
164.0,795.2
163.2,796.0
163.2,797.0
163.0,797.2
162.2,798.0
162.2,799.0
