x,y
147.8,319.0
148.0,318.8
149.0,318.8
150.0,318.8
151.0,318.8
152.0,318.8
153.0,318.8
154.0,318.8
155.0,318.8
156.0,318.8
157.0,318.8
158.0,318.8
159.0,318.8
159.8,318.0
159.8,317.0
160.0,316.8
161.0,316.8
162.0,316.8
163.0,316.8
164.0,316.8
165.0,316.8
165.2,317.0
165.2,318.0
166.0,318.8
167.0,318.8
168.0,318.8
168.8,318.0
168.0,317.2
167.0,317.2
166.8,317.0
166.8,316.0
166.8,315.0
167.0,314.8
168.0,314.8
168.8,314.0
169.0,313.8
170.0,313.8
171.0,313.8
171.8,313.0
172.0,312.8
172.8,312.0
173.0,311.8
173.8,311.0
174.0,310.8
175.0,310.8
176.0,310.8
176.8,310.0
177.0,309.8
177.8,309.0
177.8,308.0
178.0,307.8
179.0,307.8
179.8,307.0
180.0,306.8
180.8,306.0
180.8,305.0
181.0,304.8
182.0,304.8
183.0,304.8
183.8,304.0
184.0,303.8
185.0,303.8
185.8,303.0
185.8,302.0
186.0,301.8
187.0,301.8
188.0,301.8
188.8,301.0
188.0,300.2
187.0,300.2
186.8,300.0
187.0,299.8
188.0,299.8
188.8,299.0
188.8,298.0
188.8,297.0
188.8,296.0
189.0,295.8
189.8,295.0
190.0,294.8
190.8,294.0
191.0,293.8
191.8,293.0
192.0,292.8
192.8,292.0
193.0,291.8
193.8,291.0
194.0,290.8
194.8,290.0
195.0,289.8
196.0,289.8
197.0,289.8
198.0,289.8
199.0,289.8
199.8,289.0
199.0,288.2
198.0,288.2
197.8,288.0
197.8,287.0
197.8,286.0
198.0,285.8
198.2,286.0
199.0,286.8
199.8,286.0
199.8,285.0
199.8,284.0
199.0,283.2
198.8,283.0
199.0,282.8
200.0,282.8
200.2,283.0
200.2,284.0
201.0,284.8
201.2,285.0
202.0,285.8
202.8,285.0
202.8,284.0
202.8,283.0
202.8,282.0
202.8,281.0
202.8,280.0
202.0,279.2
201.0,279.2
200.8,279.0
200.8,278.0
200.8,277.0
200.0,276.2
199.8,276.0
200.0,275.8
200.8,275.0
200.8,274.0
200.0,273.2
199.0,273.2
198.2,274.0
198.0,274.2
197.8,274.0
197.8,273.0
197.0,272.2
196.8,272.0
196.8,271.0
197.0,270.8
198.0,270.8
199.0,270.8
199.8,270.0
199.8,269.0
199.8,268.0
200.0,267.8
200.2,268.0
200.2,269.0
200.2,270.0
201.0,270.8
201.8,270.0
201.8,269.0
201.8,268.0
201.0,267.2
200.8,267.0
200.8,266.0
200.8,265.0
201.0,264.8
202.0,264.8
202.8,264.0
202.8,263.0
202.8,262.0
202.8,261.0
202.8,260.0
202.8,259.0
202.0,258.2
201.8,258.0
201.0,257.2
200.0,257.2
199.2,258.0
199.0,258.2
198.8,258.0
198.8,257.0
198.0,256.2
197.2,257.0
197.2,258.0
197.2,259.0
197.0,259.2
196.0,259.2
195.2,260.0
195.0,260.2
194.0,260.2
193.2,261.0
193.0,261.2
192.0,261.2
191.8,261.0
191.0,260.2
190.0,260.2
189.0,260.2
188.8,260.0
188.8,259.0
188.8,258.0
188.8,257.0
188.0,256.2
187.8,256.0
187.0,255.2
186.8,255.0
186.0,254.2
185.8,254.0
185.0,253.2
184.2,254.0
184.0,254.2
183.8,254.0
183.0,253.2
182.2,254.0
