x,y
0.0,548.8
1.0,548.8
2.0,548.8
3.0,548.8
4.0,548.8
5.0,548.8
5.2,549.0
6.0,549.8
6.2,550.0
7.0,550.8
8.0,550.8
9.0,550.8
9.8,550.0
9.8,549.0
10.0,548.8
10.2,549.0
11.0,549.8
12.0,549.8
12.8,549.0
13.0,548.8
13.8,548.0
13.8,547.0
13.0,546.2
12.8,546.0
12.0,545.2
11.8,545.0
12.0,544.8
13.0,544.8
13.8,544.0
13.0,543.2
12.0,543.2
11.2,544.0
11.0,544.2
10.8,544.0
10.0,543.2
9.8,543.0
9.0,542.2
8.8,542.0
8.0,541.2
7.8,541.0
7.0,540.2
6.8,540.0
6.8,539.0
6.8,538.0
6.0,537.2
5.8,537.0
5.8,536.0
6.0,535.8
6.8,535.0
6.0,534.2
5.2,535.0
5.0,535.2
4.2,536.0
4.0,536.2
3.0,536.2
2.8,536.0
2.0,535.2
1.8,535.0
1.0,534.2
0.8,534.0
0.0,533.2
