x,y
580.8,267.0
581.0,266.8
582.0,266.8
583.0,266.8
584.0,266.8
585.0,266.8
586.0,266.8
587.0,266.8
588.0,266.8
589.0,266.8
590.0,266.8
591.0,266.8
591.8,266.0
592.0,265.8
593.0,265.8
594.0,265.8
595.0,265.8
596.0,265.8
597.0,265.8
598.0,265.8
599.0,265.8
600.0,265.8
600.8,265.0
601.0,264.8
601.8,264.0
601.8,263.0
602.0,262.8
603.0,262.8
604.0,262.8
605.0,262.8
605.8,262.0
605.8,261.0
606.0,260.8
606.8,260.0
607.0,259.8
608.0,259.8
608.8,259.0
609.0,258.8
610.0,258.8
610.8,258.0
611.0,257.8
611.8,257.0
612.0,256.8
613.0,256.8
613.8,256.0
614.0,255.8
614.8,255.0
614.8,254.0
615.0,253.8
615.8,253.0
615.8,252.0
616.0,251.8
616.8,251.0
616.8,250.0
617.0,249.8
617.8,249.0
617.8,248.0
617.8,247.0
618.0,246.8
618.8,246.0
618.8,245.0
618.8,244.0
618.8,243.0
618.8,242.0
618.8,241.0
618.8,240.0
618.8,239.0
618.8,238.0
618.8,237.0
618.8,236.0
618.8,235.0
618.8,234.0
618.8,233.0
618.8,232.0
618.8,231.0
618.8,230.0
618.8,229.0
618.0,228.2
617.8,228.0
617.8,227.0
617.8,226.0
617.0,225.2
616.8,225.0
616.8,224.0
616.0,223.2
615.8,223.0
615.8,222.0
615.8,221.0
615.0,220.2
614.8,220.0
614.8,219.0
614.0,218.2
613.8,218.0
613.8,217.0
613.0,216.2
612.8,216.0
612.8,215.0
612.0,214.2
611.8,214.0
611.8,213.0
611.0,212.2
610.8,212.0
610.0,211.2
609.8,211.0
609.0,210.2
608.8,210.0
608.0,209.2
607.8,209.0
607.0,208.2
606.8,208.0
606.0,207.2
605.8,207.0
605.0,206.2
604.8,206.0
604.0,205.2
603.0,205.2
602.8,205.0
602.0,204.2
601.8,204.0
601.0,203.2
600.0,203.2
599.8,203.0
599.0,202.2
598.0,202.2
597.0,202.2
596.8,202.0
596.0,201.2
595.0,201.2
594.8,201.0
594.0,200.2
593.0,200.2
592.0,200.2
591.0,200.2
590.8,200.0
590.0,199.2
589.0,199.2
588.0,199.2
587.8,199.0
587.0,198.2
586.0,198.2
585.0,198.2
584.0,198.2
583.8,198.0
583.0,197.2
582.0,197.2
581.0,197.2
580.0,197.2
579.0,197.2
578.0,197.2
577.0,197.2
576.0,197.2
575.0,197.2
574.0,197.2
573.0,197.2
572.0,197.2
571.0,197.2
570.0,197.2
569.0,197.2
568.0,197.2
567.0,197.2
566.0,197.2
565.0,197.2
564.0,197.2
563.0,197.2
562.0,197.2
561.0,197.2
560.0,197.2
559.0,197.2
558.0,197.2
557.0,197.2
556.0,197.2
555.2,198.0
555.0,198.2
554.0,198.2
553.8,198.0
553.0,197.2
552.8,197.0
552.0,196.2
551.0,196.2
550.0,196.2
549.2,197.0
549.0,197.2
548.0,197.2
547.0,197.2
546.8,197.0
546.0,196.2
545.0,196.2
