x,y
378.8,348.0
379.0,347.8
380.0,347.8
380.8,347.0
381.0,346.8
382.0,346.8
383.0,346.8
384.0,346.8
384.8,346.0
384.8,345.0
384.8,344.0
384.8,343.0
384.8,342.0
385.0,341.8
385.8,341.0
386.0,340.8
387.0,340.8
388.0,340.8
389.0,340.8
389.8,340.0
390.0,339.8
390.8,339.0
391.0,338.8
391.8,338.0
392.0,337.8
392.8,337.0
393.0,336.8
393.8,336.0
394.0,335.8
394.8,335.0
395.0,334.8
395.8,334.0
396.0,333.8
397.0,333.8
398.0,333.8
398.8,333.0
399.0,332.8
399.8,332.0
399.8,331.0
399.8,330.0
400.0,329.8
400.8,329.0
401.0,328.8
401.8,328.0
401.8,327.0
402.0,326.8
402.8,326.0
402.8,325.0
403.0,324.8
403.8,324.0
403.8,323.0
403.8,322.0
403.8,321.0
403.8,320.0
403.8,319.0
403.8,318.0
403.8,317.0
404.0,316.8
404.8,316.0
405.0,315.8
406.0,315.8
407.0,315.8
407.8,315.0
408.0,314.8
408.8,314.0
409.0,313.8
409.8,313.0
409.8,312.0
410.0,311.8
411.0,311.8
412.0,311.8
413.0,311.8
414.0,311.8
415.0,311.8
416.0,311.8
416.8,311.0
417.0,310.8
417.8,310.0
417.8,309.0
417.8,308.0
417.8,307.0
417.8,306.0
417.8,305.0
417.8,304.0
417.8,303.0
417.0,302.2
416.0,302.2
415.8,302.0
415.8,301.0
415.8,300.0
415.0,299.2
414.8,299.0
414.0,298.2
413.8,298.0
413.0,297.2
412.8,297.0
412.0,296.2
411.0,296.2
410.0,296.2
409.0,296.2
408.0,296.2
407.0,296.2
406.0,296.2
405.0,296.2
404.0,296.2
403.0,296.2
402.0,296.2
401.0,296.2
400.0,296.2
399.0,296.2
398.0,296.2
397.0,296.2
396.0,296.2
395.8,296.0
395.0,295.2
394.0,295.2
393.8,295.0
393.0,294.2
392.0,294.2
391.0,294.2
390.0,294.2
389.0,294.2
388.0,294.2
387.0,294.2
386.0,294.2
385.0,294.2
384.0,294.2
383.0,294.2
382.0,294.2
381.0,294.2
380.0,294.2
379.8,294.0
379.0,293.2
378.8,293.0
378.0,292.2
377.0,292.2
376.0,292.2
375.2,293.0
375.2,294.0
375.0,294.2
374.0,294.2
373.2,295.0
373.2,296.0
373.2,297.0
373.2,298.0
373.0,298.2
372.2,299.0
372.0,299.2
371.2,300.0
371.0,300.2
370.2,301.0
370.0,301.2
369.2,302.0
369.0,302.2
368.2,303.0
368.0,303.2
367.2,304.0
367.0,304.2
366.2,305.0
366.2,306.0
366.2,307.0
366.0,307.2
365.2,308.0
365.2,309.0
365.0,309.2
364.2,310.0
364.2,311.0
364.0,311.2
363.0,311.2
362.0,311.2
361.2,312.0
361.0,312.2
360.2,313.0
360.2,314.0
360.2,315.0
360.2,316.0
360.0,316.2
359.2,317.0
359.0,317.2
358.2,318.0
358.2,319.0
358.2,320.0
358.2,321.0
358.2,322.0
358.2,323.0
358.2,324.0
358.2,325.0
358.2,326.0
359.0,326.8
359.2,327.0
360.0,327.8
360.2,328.0
360.2,329.0
360.0,329.2
359.2,330.0
359.0,330.2
358.2,331.0
359.0,331.8
359.2,332.0
359.2,333.0
360.0,333.8
360.2,334.0
360.2,335.0
361.0,335.8
361.2,336.0
361.0,336.2
360.2,337.0
360.2,338.0
360.2,339.0
360.2,340.0
360.2,341.0
361.0,341.8
361.2,342.0
362.0,342.8
363.0,342.8
364.0,342.8
365.0,342.8
366.0,342.8
366.2,343.0
367.0,343.8
367.2,344.0
367.2,345.0
367.2,346.0
368.0,346.8
368.2,347.0
369.0,347.8
370.0,347.8
370.2,348.0
371.0,348.8
372.0,348.8
373.0,348.8
374.0,348.8
375.0,348.8
376.0,348.8
377.0,348.8
378.0,348.8
378.8,348.0
