x,y
355.8,584.0
356.0,583.8
357.0,583.8
358.0,583.8
358.8,583.0
359.0,582.8
360.0,582.8
360.8,582.0
360.8,581.0
360.0,580.2
359.8,580.0
359.0,579.2
358.8,579.0
358.8,578.0
358.0,577.2
357.8,577.0
357.0,576.2
356.8,576.0
356.8,575.0
356.8,574.0
356.0,573.2
355.8,573.0
355.8,572.0
355.8,571.0
355.0,570.2
354.8,570.0
354.0,569.2
353.8,569.0
353.8,568.0
353.0,567.2
352.8,567.0
352.8,566.0
352.0,565.2
351.8,565.0
351.0,564.2
350.8,564.0
350.0,563.2
349.8,563.0
349.8,562.0
349.8,561.0
349.0,560.2
348.8,560.0
348.8,559.0
348.8,558.0
349.0,557.8
349.8,557.0
350.0,556.8
350.8,556.0
351.0,555.8
351.8,555.0
351.8,554.0
351.8,553.0
351.8,552.0
351.8,551.0
351.8,550.0
351.8,549.0
351.8,548.0
351.8,547.0
351.8,546.0
351.8,545.0
351.8,544.0
351.8,543.0
351.8,542.0
351.8,541.0
351.8,540.0
351.8,539.0
351.8,538.0
351.8,537.0
351.8,536.0
351.8,535.0
351.8,534.0
351.8,533.0
352.0,532.8
352.8,532.0
353.0,531.8
353.8,531.0
353.8,530.0
353.8,529.0
353.8,528.0
353.8,527.0
354.0,526.8
355.0,526.8
356.0,526.8
356.2,527.0
357.0,527.8
358.0,527.8
359.0,527.8
359.8,527.0
359.8,526.0
359.8,525.0
359.8,524.0
359.8,523.0
360.0,522.8
360.8,522.0
360.8,521.0
360.8,520.0
360.8,519.0
361.0,518.8
361.8,518.0
361.8,517.0
362.0,516.8
362.8,516.0
362.8,515.0
362.8,514.0
363.0,513.8
363.8,513.0
363.8,512.0
363.0,511.2
362.8,511.0
362.8,510.0
362.8,509.0
363.0,508.8
363.8,508.0
364.0,507.8
364.8,507.0
364.8,506.0
364.8,505.0
365.0,504.8
365.8,504.0
366.0,503.8
366.8,503.0
367.0,502.8
367.8,502.0
367.8,501.0
368.0,500.8
368.8,500.0
369.0,499.8
369.8,499.0
369.8,498.0
370.0,497.8
370.8,497.0
371.0,496.8
371.8,496.0
371.8,495.0
371.8,494.0
371.8,493.0
371.8,492.0
371.8,491.0
372.0,490.8
372.8,490.0
372.8,489.0
373.0,488.8
374.0,488.8
375.0,488.8
375.8,488.0
375.8,487.0
375.8,486.0
375.8,485.0
376.0,484.8
376.8,484.0
377.0,483.8
377.8,483.0
