x,y
592.8,306.0
593.0,305.8
593.8,305.0
594.0,304.8
595.0,304.8
596.0,304.8
597.0,304.8
597.8,304.0
598.0,303.8
598.8,303.0
599.0,302.8
600.0,302.8
601.0,302.8
602.0,302.8
602.8,302.0
603.0,301.8
603.8,301.0
604.0,300.8
605.0,300.8
606.0,300.8
606.8,300.0
607.0,299.8
607.8,299.0
608.0,298.8
609.0,298.8
610.0,298.8
610.8,298.0
611.0,297.8
611.8,297.0
612.0,296.8
612.8,296.0
613.0,295.8
613.8,295.0
613.8,294.0
613.8,293.0
614.0,292.8
614.8,292.0
615.0,291.8
615.8,291.0
616.0,290.8
616.8,290.0
617.0,289.8
617.8,289.0
618.0,288.8
618.8,288.0
618.8,287.0
618.8,286.0
618.8,285.0
618.8,284.0
618.8,283.0
618.8,282.0
618.8,281.0
619.0,280.8
619.8,280.0
620.0,279.8
620.8,279.0
620.8,278.0
620.8,277.0
620.8,276.0
620.8,275.0
620.8,274.0
620.8,273.0
620.8,272.0
620.8,271.0
620.8,270.0
620.8,269.0
620.8,268.0
620.8,267.0
620.8,266.0
620.8,265.0
620.8,264.0
620.8,263.0
620.8,262.0
620.8,261.0
620.8,260.0
620.8,259.0
620.8,258.0
620.8,257.0
620.8,256.0
620.8,255.0
620.8,254.0
620.8,253.0
620.8,252.0
620.8,251.0
620.8,250.0
620.8,249.0
620.8,248.0
620.8,247.0
620.8,246.0
620.8,245.0
620.8,244.0
620.0,243.2
619.0,243.2
618.8,243.0
618.8,242.0
618.8,241.0
618.8,240.0
618.0,239.2
617.0,239.2
616.8,239.0
616.8,238.0
616.0,237.2
615.8,237.0
615.8,236.0
615.8,235.0
615.8,234.0
615.8,233.0
615.8,232.0
615.8,231.0
615.8,230.0
615.8,229.0
615.0,228.2
614.8,228.0
614.0,227.2
613.8,227.0
613.8,226.0
613.8,225.0
613.0,224.2
612.8,224.0
612.0,223.2
611.8,223.0
611.0,222.2
610.8,222.0
610.0,221.2
609.8,221.0
609.0,220.2
608.8,220.0
608.0,219.2
607.8,219.0
607.0,218.2
606.8,218.0
606.0,217.2
605.8,217.0
605.0,216.2
604.8,216.0
604.8,215.0
604.8,214.0
604.0,213.2
603.8,213.0
603.0,212.2
602.8,212.0
602.0,211.2
601.8,211.0
601.0,210.2
600.8,210.0
600.0,209.2
599.8,209.0
599.0,208.2
598.8,208.0
598.8,207.0
598.8,206.0
598.0,205.2
597.8,205.0
597.0,204.2
596.8,204.0
596.0,203.2
595.8,203.0
595.8,202.0
595.0,201.2
594.8,201.0
594.8,200.0
594.0,199.2
593.8,199.0
593.8,198.0
593.8,197.0
593.0,196.2
592.8,196.0
592.0,195.2
591.8,195.0
591.8,194.0
591.8,193.0
591.8,192.0
591.8,191.0
591.8,190.0
591.8,189.0
591.8,188.0
591.8,187.0
591.8,186.0
591.0,185.2
590.8,185.0
590.0,184.2
589.0,184.2
588.0,184.2
587.0,184.2
586.0,184.2
585.2,185.0
585.0,185.2
584.2,186.0
584.0,186.2
583.2,187.0
583.0,187.2
582.8,187.0
582.8,186.0
582.8,185.0
582.8,184.0
582.8,183.0
582.8,182.0
582.0,181.2
581.0,181.2
580.0,181.2
579.0,181.2
578.0,181.2
577.0,181.2
576.0,181.2
575.2,182.0
575.0,182.2
574.2,183.0
574.0,183.2
573.0,183.2
572.0,183.2
571.8,183.0
571.0,182.2
570.8,182.0
570.0,181.2
569.8,181.0
569.0,180.2
568.8,180.0
568.0,179.2
567.0,179.2
566.0,179.2
565.0,179.2
564.0,179.2
563.0,179.2
562.0,179.2
561.2,180.0
561.2,181.0
561.2,182.0
561.2,183.0
561.0,183.2
560.0,183.2
559.0,183.2
558.8,183.0
558.0,182.2
557.0,182.2
556.0,182.2
555.0,182.2
554.2,183.0
554.2,184.0
554.2,185.0
554.2,186.0
554.2,187.0
554.2,188.0
554.2,189.0
554.2,190.0
554.2,191.0
554.2,192.0
555.0,192.8
556.0,192.8
556.2,193.0
556.2,194.0
556.2,195.0
556.2,196.0
556.2,197.0
557.0,197.8
557.2,198.0
557.2,199.0
557.2,200.0
557.2,201.0
557.2,202.0
557.2,203.0
557.0,203.2
556.2,204.0
556.2,205.0
556.2,206.0
556.2,207.0
556.2,208.0
556.0,208.2
555.2,209.0
555.0,209.2
554.2,210.0
554.2,211.0
554.2,212.0
554.2,213.0
554.2,214.0
554.2,215.0
554.2,216.0
554.2,217.0
554.0,217.2
553.2,218.0
553.0,218.2
552.2,219.0
552.2,220.0
552.2,221.0
552.0,221.2
551.2,222.0
551.0,222.2
550.2,223.0
550.2,224.0
550.2,225.0
550.2,226.0
550.2,227.0
550.2,228.0
550.2,229.0
550.2,230.0
550.2,231.0
550.2,232.0
550.2,233.0
550.2,234.0
550.2,235.0
550.2,236.0
550.2,237.0
550.0,237.2
549.2,238.0
549.0,238.2
548.2,239.0
548.2,240.0
548.2,241.0
548.2,242.0
548.2,243.0
548.2,244.0
548.2,245.0
548.2,246.0
548.2,247.0
548.2,248.0
548.2,249.0
548.2,250.0
548.2,251.0
548.2,252.0
548.2,253.0
548.2,254.0
548.2,255.0
548.2,256.0
548.2,257.0
549.0,257.8
549.2,258.0
549.2,259.0
549.2,260.0
550.0,260.8
550.2,261.0
550.2,262.0
550.2,263.0
550.2,264.0
550.2,265.0
550.2,266.0
550.2,267.0
550.2,268.0
550.2,269.0
550.2,270.0
551.0,270.8
552.0,270.8
552.2,271.0
552.2,272.0
552.2,273.0
552.2,274.0
552.2,275.0
552.2,276.0
552.2,277.0
553.0,277.8
553.2,278.0
