x,y
47.8,446.0
48.0,445.8
48.8,445.0
49.0,444.8
50.0,444.8
50.8,444.0
50.8,443.0
50.8,442.0
50.8,441.0
50.8,440.0
50.8,439.0
50.8,438.0
50.8,437.0
50.8,436.0
50.8,435.0
50.8,434.0
51.0,433.8
52.0,433.8
52.8,433.0
52.8,432.0
53.0,431.8
53.8,431.0
54.0,430.8
54.8,430.0
55.0,429.8
56.0,429.8
56.8,429.0
56.8,428.0
56.8,427.0
56.8,426.0
57.0,425.8
58.0,425.8
58.8,425.0
58.8,424.0
59.0,423.8
60.0,423.8
60.8,423.0
60.8,422.0
60.8,421.0
60.8,420.0
60.8,419.0
60.8,418.0
60.8,417.0
60.8,416.0
60.8,415.0
60.8,414.0
60.8,413.0
60.8,412.0
60.8,411.0
60.8,410.0
60.8,409.0
60.8,408.0
60.8,407.0
60.8,406.0
60.8,405.0
60.8,404.0
60.8,403.0
60.8,402.0
60.8,401.0
60.8,400.0
60.8,399.0
60.8,398.0
60.8,397.0
61.0,396.8
61.8,396.0
62.0,395.8
62.8,395.0
62.8,394.0
62.8,393.0
63.0,392.8
63.8,392.0
64.0,391.8
64.8,391.0
65.0,390.8
65.8,390.0
66.0,389.8
66.8,389.0
66.8,388.0
67.0,387.8
68.0,387.8
68.8,387.0
69.0,386.8
69.8,386.0
70.0,385.8
70.8,385.0
71.0,384.8
71.8,384.0
71.8,383.0
71.0,382.2
70.8,382.0
70.8,381.0
70.0,380.2
69.0,380.2
68.0,380.2
67.0,380.2
66.0,380.2
65.0,380.2
64.8,380.0
64.8,379.0
65.0,378.8
65.8,378.0
66.0,377.8
66.8,377.0
66.8,376.0
66.8,375.0
66.8,374.0
66.8,373.0
66.8,372.0
66.0,371.2
65.0,371.2
64.2,372.0
64.0,372.2
63.0,372.2
62.0,372.2
61.0,372.2
60.0,372.2
59.0,372.2
58.2,373.0
58.0,373.2
57.0,373.2
56.8,373.0
56.8,372.0
56.0,371.2
55.8,371.0
55.0,370.2
54.8,370.0
54.0,369.2
53.8,369.0
53.0,368.2
52.0,368.2
51.2,369.0
51.0,369.2
50.8,369.0
50.0,368.2
49.0,368.2
48.0,368.2
47.0,368.2
46.2,369.0
46.2,370.0
46.2,371.0
46.2,372.0
46.2,373.0
46.2,374.0
46.2,375.0
46.2,376.0
46.2,377.0
46.2,378.0
46.0,378.2
45.2,379.0
45.0,379.2
44.8,379.0
44.8,378.0
44.0,377.2
43.8,377.0
43.0,376.2
42.8,376.0
42.0,375.2
41.8,375.0
41.0,374.2
40.2,375.0
40.0,375.2
39.0,375.2
38.8,375.0
38.0,374.2
37.0,374.2
36.0,374.2
35.2,375.0
36.0,375.8
36.2,376.0
36.2,377.0
36.2,378.0
36.2,379.0
36.2,380.0
36.2,381.0
36.2,382.0
36.2,383.0
36.2,384.0
36.2,385.0
36.2,386.0
36.0,386.2
35.2,387.0
35.0,387.2
34.2,388.0
34.0,388.2
33.2,389.0
33.0,389.2
32.2,390.0
32.2,391.0
32.2,392.0
32.0,392.2
31.2,393.0
31.0,393.2
30.2,394.0
30.2,395.0
30.2,396.0
30.0,396.2
29.2,397.0
29.0,397.2
28.2,398.0
28.2,399.0
28.2,400.0
28.2,401.0
28.0,401.2
27.2,402.0
27.0,402.2
26.2,403.0
26.2,404.0
26.0,404.2
25.0,404.2
24.2,405.0
24.2,406.0
24.2,407.0
24.2,408.0
24.2,409.0
24.2,410.0
24.2,411.0
24.0,411.2
23.2,412.0
23.0,412.2
22.2,413.0
22.2,414.0
22.2,415.0
22.2,416.0
22.2,417.0
22.2,418.0
22.2,419.0
22.2,420.0
22.2,421.0
22.2,422.0
22.0,422.2
21.0,422.2
20.2,423.0
20.2,424.0
20.2,425.0
20.2,426.0
20.2,427.0
20.2,428.0
20.2,429.0
20.2,430.0
20.2,431.0
20.2,432.0
20.2,433.0
20.2,434.0
20.2,435.0
20.2,436.0
20.2,437.0
20.2,438.0
21.0,438.8
21.2,439.0
22.0,439.8
22.2,440.0
23.0,440.8
23.2,441.0
24.0,441.8
24.2,442.0
25.0,442.8
25.2,443.0
26.0,443.8
27.0,443.8
28.0,443.8
29.0,443.8
30.0,443.8
31.0,443.8
32.0,443.8
33.0,443.8
34.0,443.8
35.0,443.8
36.0,443.8
36.2,444.0
36.2,445.0
37.0,445.8
38.0,445.8
39.0,445.8
40.0,445.8
41.0,445.8
42.0,445.8
43.0,445.8
44.0,445.8
45.0,445.8
46.0,445.8
46.2,446.0
47.0,446.8
47.8,446.0
