x,y
284.8,414.0
285.0,413.8
286.0,413.8
287.0,413.8
288.0,413.8
289.0,413.8
290.0,413.8
290.8,413.0
291.0,412.8
292.0,412.8
293.0,412.8
293.8,412.0
293.8,411.0
294.0,410.8
294.8,410.0
294.8,409.0
295.0,408.8
295.8,408.0
296.0,407.8
296.8,407.0
297.0,406.8
297.8,406.0
298.0,405.8
298.8,405.0
299.0,404.8
299.8,404.0
300.0,403.8
301.0,403.8
301.8,403.0
302.0,402.8
303.0,402.8
303.8,402.0
304.0,401.8
304.8,401.0
305.0,400.8
305.8,400.0
305.8,399.0
306.0,398.8
306.8,398.0
307.0,397.8
307.8,397.0
307.0,396.2
306.0,396.2
305.0,396.2
304.0,396.2
303.0,396.2
302.0,396.2
301.0,396.2
300.0,396.2
299.0,396.2
298.0,396.2
297.0,396.2
296.0,396.2
295.0,396.2
294.0,396.2
293.0,396.2
292.0,396.2
291.0,396.2
290.2,397.0
290.0,397.2
289.2,398.0
289.0,398.2
288.0,398.2
287.2,399.0
287.0,399.2
286.2,400.0
286.0,400.2
285.2,401.0
285.0,401.2
284.2,402.0
284.0,402.2
283.2,403.0
283.0,403.2
282.2,404.0
282.0,404.2
281.2,405.0
281.0,405.2
280.0,405.2
279.2,406.0
279.0,406.2
278.2,407.0
278.0,407.2
277.2,408.0
277.0,408.2
276.0,408.2
275.2,409.0
275.0,409.2
274.0,409.2
273.0,409.2
272.2,410.0
272.0,410.2
271.0,410.2
270.0,410.2
269.2,411.0
269.0,411.2
268.0,411.2
267.0,411.2
266.2,412.0
267.0,412.8
268.0,412.8
269.0,412.8
270.0,412.8
271.0,412.8
272.0,412.8
273.0,412.8
274.0,412.8
274.2,413.0
275.0,413.8
276.0,413.8
277.0,413.8
278.0,413.8
279.0,413.8
280.0,413.8
281.0,413.8
281.2,414.0
282.0,414.8
283.0,414.8
284.0,414.8
284.8,414.0
