x,y
366.8,148.0
366.8,147.0
367.0,146.8
368.0,146.8
368.8,146.0
368.8,145.0
368.8,144.0
368.8,143.0
368.8,142.0
368.8,141.0
369.0,140.8
369.8,140.0
370.0,139.8
370.8,139.0
370.8,138.0
370.8,137.0
370.8,136.0
370.8,135.0
370.8,134.0
370.8,133.0
370.0,132.2
369.8,132.0
369.0,131.2
368.8,131.0
368.0,130.2
367.8,130.0
367.8,129.0
367.0,128.2
366.8,128.0
366.0,127.2
365.8,127.0
365.0,126.2
364.8,126.0
364.8,125.0
364.0,124.2
363.0,124.2
362.8,124.0
362.8,123.0
362.8,122.0
362.8,121.0
362.8,120.0
362.8,119.0
362.8,118.0
362.8,117.0
362.0,116.2
361.8,116.0
361.8,115.0
362.0,114.8
363.0,114.8
363.8,114.0
364.0,113.8
364.8,113.0
365.0,112.8
366.0,112.8
366.8,112.0
366.8,111.0
366.8,110.0
366.8,109.0
366.8,108.0
366.8,107.0
366.8,106.0
366.8,105.0
366.8,104.0
366.0,103.2
365.8,103.0
365.0,102.2
364.8,102.0
364.8,101.0
364.0,100.2
363.8,100.0
363.8,99.0
363.0,98.2
362.8,98.0
362.0,97.2
361.8,97.0
361.0,96.2
360.0,96.2
359.0,96.2
358.0,96.2
357.0,96.2
356.8,96.0
356.0,95.2
355.8,95.0
355.0,94.2
354.0,94.2
353.0,94.2
352.8,94.0
352.0,93.2
351.8,93.0
351.0,92.2
350.0,92.2
349.0,92.2
348.0,92.2
347.0,92.2
346.0,92.2
345.0,92.2
344.0,92.2
343.0,92.2
342.2,93.0
342.0,93.2
341.8,93.0
341.0,92.2
340.0,92.2
339.0,92.2
338.0,92.2
337.0,92.2
336.0,92.2
335.0,92.2
334.0,92.2
333.2,93.0
333.0,93.2
332.2,94.0
332.0,94.2
331.0,94.2
330.0,94.2
329.0,94.2
328.0,94.2
327.0,94.2
326.0,94.2
325.0,94.2
324.0,94.2
323.2,95.0
323.0,95.2
322.2,96.0
322.2,97.0
322.2,98.0
322.0,98.2
321.2,99.0
321.0,99.2
320.2,100.0
320.0,100.2
319.2,101.0
319.2,102.0
320.0,102.8
320.2,103.0
320.0,103.2
319.0,103.2
318.2,104.0
318.0,104.2
317.2,105.0
317.0,105.2
316.2,106.0
316.2,107.0
316.2,108.0
316.2,109.0
316.2,110.0
316.2,111.0
316.2,112.0
316.2,113.0
316.2,114.0
316.2,115.0
317.0,115.8
317.2,116.0
318.0,116.8
318.2,117.0
318.2,118.0
318.2,119.0
319.0,119.8
319.2,120.0
320.0,120.8
320.2,121.0
320.2,122.0
320.2,123.0
321.0,123.8
321.2,124.0
322.0,124.8
322.2,125.0
322.2,126.0
322.2,127.0
323.0,127.8
323.2,128.0
324.0,128.8
325.0,128.8
326.0,128.8
326.2,129.0
327.0,129.8
327.2,130.0
328.0,130.8
329.0,130.8
329.2,131.0
329.2,132.0
330.0,132.8
331.0,132.8
331.2,133.0
332.0,133.8
332.2,134.0
333.0,134.8
334.0,134.8
335.0,134.8
336.0,134.8
337.0,134.8
338.0,134.8
339.0,134.8
339.8,134.0
340.0,133.8
340.8,133.0
341.0,132.8
342.0,132.8
343.0,132.8
344.0,132.8
345.0,132.8
346.0,132.8
347.0,132.8
348.0,132.8
349.0,132.8
349.2,133.0
349.2,134.0
350.0,134.8
351.0,134.8
351.2,135.0
351.2,136.0
352.0,136.8
352.2,137.0
353.0,137.8
353.2,138.0
354.0,138.8
354.2,139.0
355.0,139.8
355.2,140.0
356.0,140.8
356.2,141.0
357.0,141.8
357.2,142.0
358.0,142.8
358.2,143.0
359.0,143.8
359.2,144.0
360.0,144.8
360.2,145.0
361.0,145.8
361.2,146.0
362.0,146.8
362.2,147.0
363.0,147.8
363.2,148.0
364.0,148.8
365.0,148.8
366.0,148.8
366.8,148.0
