x,y
386.8,410.0
386.8,409.0
387.0,408.8
387.8,408.0
387.8,407.0
388.0,406.8
389.0,406.8
389.2,407.0
390.0,407.8
391.0,407.8
392.0,407.8
392.8,407.0
393.0,406.8
393.8,406.0
393.8,405.0
394.0,404.8
394.8,404.0
395.0,403.8
396.0,403.8
397.0,403.8
397.2,404.0
397.2,405.0
398.0,405.8
398.2,406.0
398.2,407.0
399.0,407.8
399.2,408.0
400.0,408.8
401.0,408.8
402.0,408.8
403.0,408.8
404.0,408.8
404.8,408.0
404.8,407.0
404.8,406.0
405.0,405.8
405.8,405.0
405.8,404.0
406.0,403.8
406.2,404.0
407.0,404.8
408.0,404.8
408.2,405.0
409.0,405.8
410.0,405.8
411.0,405.8
412.0,405.8
413.0,405.8
414.0,405.8
415.0,405.8
415.8,405.0
415.8,404.0
415.8,403.0
415.8,402.0
415.8,401.0
415.8,400.0
416.0,399.8
416.2,400.0
417.0,400.8
418.0,400.8
418.2,401.0
419.0,401.8
420.0,401.8
420.2,402.0
421.0,402.8
421.8,402.0
422.0,401.8
423.0,401.8
423.8,401.0
424.0,400.8
424.8,400.0
424.8,399.0
424.8,398.0
424.8,397.0
424.8,396.0
425.0,395.8
426.0,395.8
427.0,395.8
428.0,395.8
429.0,395.8
430.0,395.8
431.0,395.8
431.8,395.0
432.0,394.8
433.0,394.8
433.8,394.0
434.0,393.8
434.8,393.0
434.0,392.2
433.8,392.0
433.8,391.0
433.0,390.2
432.8,390.0
432.8,389.0
433.0,388.8
434.0,388.8
435.0,388.8
436.0,388.8
436.8,388.0
437.0,387.8
438.0,387.8
438.8,387.0
438.8,386.0
438.8,385.0
438.8,384.0
438.0,383.2
437.8,383.0
438.0,382.8
438.8,382.0
439.0,381.8
440.0,381.8
440.8,381.0
441.0,380.8
441.8,380.0
441.8,379.0
441.8,378.0
441.8,377.0
441.0,376.2
440.8,376.0
440.0,375.2
439.8,375.0
439.0,374.2
438.8,374.0
438.0,373.2
437.8,373.0
437.0,372.2
436.0,372.2
435.8,372.0
435.0,371.2
434.8,371.0
434.0,370.2
433.0,370.2
432.0,370.2
431.0,370.2
430.0,370.2
429.8,370.0
429.0,369.2
428.0,369.2
