x,y
573.8,379.0
574.0,378.8
575.0,378.8
575.8,378.0
576.0,377.8
577.0,377.8
578.0,377.8
579.0,377.8
580.0,377.8
580.8,377.0
581.0,376.8
581.8,376.0
582.0,375.8
582.8,375.0
582.8,374.0
583.0,373.8
583.8,373.0
583.8,372.0
584.0,371.8
584.8,371.0
584.8,370.0
585.0,369.8
585.8,369.0
585.8,368.0
585.8,367.0
586.0,366.8
586.8,366.0
586.8,365.0
586.8,364.0
587.0,363.8
587.8,363.0
587.8,362.0
587.8,361.0
587.8,360.0
587.8,359.0
587.8,358.0
587.8,357.0
587.8,356.0
588.0,355.8
588.8,355.0
588.8,354.0
588.8,353.0
588.8,352.0
588.8,351.0
588.8,350.0
588.8,349.0
588.8,348.0
588.8,347.0
589.0,346.8
589.8,346.0
589.8,345.0
589.8,344.0
589.8,343.0
590.0,342.8
590.8,342.0
590.8,341.0
590.8,340.0
590.8,339.0
591.0,338.8
591.8,338.0
591.8,337.0
591.8,336.0
591.8,335.0
592.0,334.8
592.8,334.0
592.8,333.0
592.8,332.0
592.8,331.0
592.8,330.0
593.0,329.8
593.8,329.0
594.0,328.8
594.8,328.0
594.8,327.0
595.0,326.8
596.0,326.8
596.8,326.0
597.0,325.8
598.0,325.8
598.8,325.0
599.0,324.8
600.0,324.8
600.8,324.0
601.0,323.8
602.0,323.8
602.8,323.0
602.0,322.2
601.8,322.0
601.0,321.2
600.0,321.2
599.8,321.0
599.0,320.2
598.0,320.2
597.8,320.0
597.0,319.2
596.8,319.0
596.8,318.0
596.8,317.0
597.0,316.8
597.8,316.0
598.0,315.8
598.8,315.0
599.0,314.8
599.8,314.0
600.0,313.8
600.8,313.0
601.0,312.8
601.8,312.0
602.0,311.8
602.8,311.0
602.8,310.0
602.8,309.0
602.0,308.2
601.8,308.0
601.0,307.2
600.8,307.0
600.8,306.0
601.0,305.8
601.8,305.0
602.0,304.8
602.8,304.0
602.8,303.0
603.0,302.8
603.8,302.0
604.0,301.8
604.8,301.0
604.8,300.0
604.8,299.0
604.8,298.0
604.0,297.2
603.0,297.2
602.0,297.2
601.8,297.0
602.0,296.8
602.8,296.0
602.8,295.0
603.0,294.8
603.8,294.0
603.8,293.0
604.0,292.8
604.8,292.0
604.8,291.0
604.8,290.0
604.0,289.2
603.8,289.0
603.8,288.0
603.8,287.0
604.0,286.8
604.8,286.0
604.8,285.0
604.8,284.0
604.8,283.0
604.8,282.0
604.0,281.2
603.8,281.0
604.0,280.8
604.8,280.0
604.8,279.0
605.0,278.8
605.8,278.0
606.0,277.8
606.8,277.0
606.8,276.0
607.0,275.8
607.8,275.0
607.8,274.0
607.0,273.2
606.8,273.0
606.0,272.2
605.8,272.0
605.8,271.0
606.0,270.8
606.8,270.0
606.8,269.0
607.0,268.8
607.8,268.0
607.0,267.2
606.8,267.0
606.0,266.2
605.8,266.0
605.0,265.2
604.0,265.2
603.8,265.0
604.0,264.8
604.8,264.0
604.8,263.0
605.0,262.8
605.8,262.0
605.8,261.0
605.8,260.0
605.0,259.2
604.8,259.0
604.0,258.2
603.8,258.0
604.0,257.8
604.8,257.0
605.0,256.8
605.8,256.0
605.8,255.0
605.8,254.0
606.0,253.8
606.8,253.0
606.0,252.2
605.8,252.0
605.0,251.2
604.0,251.2
603.8,251.0
603.8,250.0
604.0,249.8
604.8,249.0
604.8,248.0
604.8,247.0
604.8,246.0
604.8,245.0
604.8,244.0
604.8,243.0
604.8,242.0
604.8,241.0
604.8,240.0
604.8,239.0
604.8,238.0
605.0,237.8
605.8,237.0
605.8,236.0
605.0,235.2
604.0,235.2
603.8,235.0
603.8,234.0
603.8,233.0
603.8,232.0
603.0,231.2
602.8,231.0
602.0,230.2
601.8,230.0
601.8,229.0
602.0,228.8
602.8,228.0
602.8,227.0
602.0,226.2
601.8,226.0
601.8,225.0
601.0,224.2
600.8,224.0
600.8,223.0
600.8,222.0
600.8,221.0
600.8,220.0
600.8,219.0
600.0,218.2
599.8,218.0
599.8,217.0
599.8,216.0
599.8,215.0
599.8,214.0
599.8,213.0
599.8,212.0
599.8,211.0
599.0,210.2
598.8,210.0
598.8,209.0
598.8,208.0
598.8,207.0
598.8,206.0
598.0,205.2
597.0,205.2
596.0,205.2
595.8,205.0
595.8,204.0
595.8,203.0
595.8,202.0
595.8,201.0
595.8,200.0
595.8,199.0
596.0,198.8
596.8,198.0
596.8,197.0
596.8,196.0
596.8,195.0
596.8,194.0
596.8,193.0
596.0,192.2
595.8,192.0
596.0,191.8
596.8,191.0
596.8,190.0
597.0,189.8
597.8,189.0
597.8,188.0
597.0,187.2
596.8,187.0
596.8,186.0
597.0,185.8
597.8,185.0
597.8,184.0
598.0,183.8
598.8,183.0
598.8,182.0
599.0,181.8
599.8,181.0
599.8,180.0
599.8,179.0
600.0,178.8
600.8,178.0
601.0,177.8
601.8,177.0
602.0,176.8
603.0,176.8
603.8,176.0
604.0,175.8
604.8,175.0
605.0,174.8
605.8,174.0
606.0,173.8
607.0,173.8
607.8,173.0
608.0,172.8
608.8,172.0
608.8,171.0
608.8,170.0
608.8,169.0
608.0,168.2
607.0,168.2
606.0,168.2
605.0,168.2
604.2,169.0
604.0,169.2
603.2,170.0
603.0,170.2
602.0,170.2
601.2,171.0
601.0,171.2
600.2,172.0
600.0,172.2
599.2,173.0
599.0,173.2
598.0,173.2
597.0,173.2
596.2,174.0
596.0,174.2
595.2,175.0
595.0,175.2
594.2,176.0
594.0,176.2
593.2,177.0
593.2,178.0
593.0,178.2
592.2,179.0
592.0,179.2
591.2,180.0
591.0,180.2
590.2,181.0
590.0,181.2
589.2,182.0
589.2,183.0
589.2,184.0
589.2,185.0
589.2,186.0
589.2,187.0
589.2,188.0
589.2,189.0
589.0,189.2
588.2,190.0
588.2,191.0
588.0,191.2
587.2,192.0
587.0,192.2
586.2,193.0
586.0,193.2
585.2,194.0
585.0,194.2
584.2,195.0
584.2,196.0
584.0,196.2
583.2,197.0
583.2,198.0
583.2,199.0
583.0,199.2
582.2,200.0
582.2,201.0
582.0,201.2
581.0,201.2
580.2,202.0
580.2,203.0
580.2,204.0
580.2,205.0
580.2,206.0
580.2,207.0
580.2,208.0
580.2,209.0
580.2,210.0
580.2,211.0
580.0,211.2
579.2,212.0
579.0,212.2
578.2,213.0
578.2,214.0
578.2,215.0
578.2,216.0
578.2,217.0
578.2,218.0
578.0,218.2
577.2,219.0
577.0,219.2
576.2,220.0
576.2,221.0
576.2,222.0
576.2,223.0
576.2,224.0
576.2,225.0
576.2,226.0
577.0,226.8
577.2,227.0
577.0,227.2
576.2,228.0
576.0,228.2
575.2,229.0
575.2,230.0
575.2,231.0
575.2,232.0
575.2,233.0
575.0,233.2
574.0,233.2
573.2,234.0
573.2,235.0
573.2,236.0
573.2,237.0
573.2,238.0
573.2,239.0
573.2,240.0
574.0,240.8
574.2,241.0
574.2,242.0
574.2,243.0
574.2,244.0
574.2,245.0
574.2,246.0
574.2,247.0
574.2,248.0
574.2,249.0
575.0,249.8
575.2,250.0
575.2,251.0
575.2,252.0
575.2,253.0
576.0,253.8
576.2,254.0
576.2,255.0
576.2,256.0
576.2,257.0
576.2,258.0
576.2,259.0
576.2,260.0
576.2,261.0
576.2,262.0
577.0,262.8
577.2,263.0
577.2,264.0
577.2,265.0
577.2,266.0
577.2,267.0
577.2,268.0
577.2,269.0
577.2,270.0
578.0,270.8
578.2,271.0
578.2,272.0
578.2,273.0
578.2,274.0
578.2,275.0
578.2,276.0
578.2,277.0
578.2,278.0
578.0,278.2
577.2,279.0
577.2,280.0
577.2,281.0
577.2,282.0
577.2,283.0
577.2,284.0
577.2,285.0
577.2,286.0
577.2,287.0
577.2,288.0
577.2,289.0
577.2,290.0
577.2,291.0
577.2,292.0
577.2,293.0
577.2,294.0
577.2,295.0
577.2,296.0
577.2,297.0
577.2,298.0
577.2,299.0
577.2,300.0
577.2,301.0
577.2,302.0
577.2,303.0
577.2,304.0
577.2,305.0
577.2,306.0
577.0,306.2
576.2,307.0
576.2,308.0
576.2,309.0
576.2,310.0
576.2,311.0
576.2,312.0
576.0,312.2
575.2,313.0
575.2,314.0
575.2,315.0
575.2,316.0
575.2,317.0
575.2,318.0
575.2,319.0
575.2,320.0
575.0,320.2
574.2,321.0
574.2,322.0
574.2,323.0
574.2,324.0
574.2,325.0
574.2,326.0
574.2,327.0
574.2,328.0
574.2,329.0
574.2,330.0
574.2,331.0
574.2,332.0
574.2,333.0
574.2,334.0
574.2,335.0
574.2,336.0
575.0,336.8
575.2,337.0
575.2,338.0
575.2,339.0
575.2,340.0
575.2,341.0
575.2,342.0
576.0,342.8
576.2,343.0
576.2,344.0
576.2,345.0
576.2,346.0
576.2,347.0
576.0,347.2
575.2,348.0
575.2,349.0
575.2,350.0
575.2,351.0
575.0,351.2
574.2,352.0
574.2,353.0
574.2,354.0
574.2,355.0
574.2,356.0
574.0,356.2
573.2,357.0
573.2,358.0
573.2,359.0
573.2,360.0
573.2,361.0
573.2,362.0
573.0,362.2
572.2,363.0
572.2,364.0
572.2,365.0
572.2,366.0
572.2,367.0
572.2,368.0
572.2,369.0
572.2,370.0
572.2,371.0
572.0,371.2
571.2,372.0
571.2,373.0
571.2,374.0
571.2,375.0
571.2,376.0
571.2,377.0
571.2,378.0
571.2,379.0
572.0,379.8
573.0,379.8
573.8,379.0
