x,y
273.8,643.0
273.8,642.0
273.8,641.0
273.8,640.0
273.0,639.2
272.0,639.2
271.8,639.0
272.0,638.8
273.0,638.8
274.0,638.8
275.0,638.8
276.0,638.8
277.0,638.8
278.0,638.8
278.2,639.0
279.0,639.8
280.0,639.8
281.0,639.8
282.0,639.8
283.0,639.8
284.0,639.8
285.0,639.8
286.0,639.8
287.0,639.8
288.0,639.8
289.0,639.8
290.0,639.8
291.0,639.8
292.0,639.8
293.0,639.8
294.0,639.8
295.0,639.8
296.0,639.8
297.0,639.8
298.0,639.8
299.0,639.8
300.0,639.8
301.0,639.8
301.8,639.0
302.0,638.8
302.8,638.0
303.0,637.8
303.8,637.0
303.8,636.0
303.8,635.0
303.8,634.0
303.8,633.0
303.8,632.0
303.8,631.0
303.8,630.0
303.0,629.2
302.8,629.0
302.8,628.0
302.8,627.0
302.8,626.0
302.0,625.2
301.8,625.0
301.8,624.0
301.8,623.0
301.8,622.0
301.0,621.2
300.8,621.0
300.8,620.0
300.8,619.0
300.0,618.2
299.8,618.0
299.8,617.0
299.8,616.0
299.8,615.0
299.8,614.0
299.8,613.0
299.8,612.0
300.0,611.8
300.8,611.0
300.8,610.0
301.0,609.8
301.8,609.0
301.8,608.0
302.0,607.8
302.8,607.0
302.8,606.0
302.8,605.0
302.8,604.0
303.0,603.8
303.8,603.0
303.8,602.0
303.0,601.2
302.0,601.2
301.0,601.2
300.0,601.2
299.2,602.0
299.0,602.2
298.2,603.0
298.0,603.2
297.0,603.2
296.0,603.2
295.0,603.2
294.0,603.2
293.0,603.2
292.0,603.2
291.0,603.2
290.0,603.2
289.0,603.2
288.0,603.2
287.8,603.0
287.0,602.2
286.2,603.0
286.0,603.2
285.0,603.2
284.8,603.0
284.0,602.2
283.0,602.2
282.0,602.2
281.0,602.2
280.8,602.0
280.0,601.2
279.0,601.2
278.0,601.2
277.0,601.2
276.0,601.2
275.0,601.2
274.0,601.2
273.0,601.2
272.8,601.0
272.0,600.2
271.0,600.2
270.0,600.2
269.0,600.2
268.8,600.0
268.0,599.2
267.0,599.2
266.0,599.2
265.0,599.2
264.0,599.2
263.8,599.0
263.0,598.2
262.0,598.2
261.8,598.0
261.0,597.2
260.0,597.2
259.0,597.2
258.8,597.0
258.0,596.2
257.0,596.2
256.0,596.2
255.0,596.2
254.8,596.0
254.0,595.2
253.0,595.2
252.0,595.2
251.0,595.2
250.8,595.0
250.0,594.2
249.0,594.2
248.0,594.2
247.0,594.2
246.0,594.2
245.0,594.2
244.0,594.2
243.0,594.2
242.0,594.2
241.0,594.2
240.2,595.0
240.0,595.2
239.0,595.2
238.2,596.0
238.0,596.2
237.0,596.2
236.0,596.2
235.2,597.0
235.0,597.2
234.0,597.2
233.0,597.2
232.2,598.0
232.0,598.2
231.0,598.2
230.2,599.0
230.0,599.2
229.0,599.2
228.2,600.0
228.0,600.2
227.2,601.0
227.0,601.2
226.0,601.2
225.2,602.0
225.2,603.0
225.0,603.2
224.0,603.2
223.2,604.0
223.0,604.2
222.0,604.2
221.0,604.2
220.0,604.2
219.0,604.2
218.0,604.2
217.0,604.2
216.0,604.2
215.0,604.2
214.2,605.0
215.0,605.8
215.2,606.0
215.2,607.0
216.0,607.8
216.2,608.0
217.0,608.8
218.0,608.8
218.2,609.0
219.0,609.8
220.0,609.8
220.2,610.0
221.0,610.8
221.2,611.0
222.0,611.8
223.0,611.8
223.2,612.0
224.0,612.8
224.2,613.0
225.0,613.8
225.2,614.0
226.0,614.8
227.0,614.8
227.2,615.0
228.0,615.8
229.0,615.8
230.0,615.8
231.0,615.8
232.0,615.8
233.0,615.8
234.0,615.8
235.0,615.8
235.2,616.0
235.0,616.2
234.0,616.2
233.0,616.2
232.0,616.2
231.0,616.2
230.0,616.2
229.0,616.2
228.0,616.2
227.0,616.2
226.0,616.2
225.0,616.2
224.0,616.2
223.2,617.0
223.2,618.0
224.0,618.8
224.2,619.0
225.0,619.8
225.2,620.0
226.0,620.8
226.2,621.0
227.0,621.8
228.0,621.8
228.2,622.0
229.0,622.8
230.0,622.8
231.0,622.8
232.0,622.8
232.2,623.0
233.0,623.8
234.0,623.8
235.0,623.8
236.0,623.8
237.0,623.8
238.0,623.8
239.0,623.8
240.0,623.8
241.0,623.8
242.0,623.8
243.0,623.8
243.2,624.0
244.0,624.8
245.0,624.8
246.0,624.8
247.0,624.8
248.0,624.8
248.2,625.0
249.0,625.8
250.0,625.8
251.0,625.8
252.0,625.8
252.2,626.0
253.0,626.8
254.0,626.8
255.0,626.8
256.0,626.8
256.2,627.0
257.0,627.8
258.0,627.8
258.2,628.0
258.2,629.0
258.0,629.2
257.2,630.0
257.2,631.0
257.2,632.0
257.2,633.0
257.2,634.0
257.2,635.0
258.0,635.8
258.2,636.0
258.2,637.0
259.0,637.8
259.2,638.0
260.0,638.8
260.2,639.0
261.0,639.8
261.2,640.0
262.0,640.8
263.0,640.8
263.2,641.0
264.0,641.8
264.2,642.0
265.0,642.8
266.0,642.8
267.0,642.8
267.2,643.0
268.0,643.8
269.0,643.8
270.0,643.8
271.0,643.8
272.0,643.8
273.0,643.8
273.8,643.0
