x,y
226.8,185.0
227.0,184.8
228.0,184.8
229.0,184.8
229.8,184.0
230.0,183.8
231.0,183.8
232.0,183.8
233.0,183.8
234.0,183.8
234.8,183.0
235.0,182.8
236.0,182.8
237.0,182.8
238.0,182.8
238.2,183.0
239.0,183.8
239.8,183.0
240.0,182.8
241.0,182.8
242.0,182.8
243.0,182.8
244.0,182.8
244.2,183.0
245.0,183.8
245.8,183.0
245.0,182.2
244.8,182.0
245.0,181.8
246.0,181.8
246.2,182.0
247.0,182.8
247.8,182.0
247.8,181.0
247.8,180.0
247.8,179.0
247.8,178.0
247.8,177.0
247.8,176.0
247.8,175.0
247.8,174.0
247.8,173.0
248.0,172.8
248.8,172.0
248.8,171.0
249.0,170.8
249.2,171.0
249.2,172.0
250.0,172.8
250.8,172.0
250.8,171.0
250.0,170.2
249.8,170.0
249.8,169.0
250.0,168.8
250.8,168.0
251.0,167.8
251.8,167.0
251.8,166.0
251.8,165.0
251.0,164.2
250.8,164.0
250.8,163.0
250.0,162.2
249.8,162.0
250.0,161.8
250.8,161.0
250.8,160.0
250.8,159.0
250.8,158.0
250.0,157.2
249.8,157.0
249.8,156.0
249.8,155.0
249.8,154.0
249.8,153.0
249.0,152.2
248.8,152.0
248.0,151.2
247.8,151.0
247.8,150.0
247.8,149.0
247.8,148.0
247.8,147.0
247.8,146.0
247.8,145.0
247.8,144.0
247.0,143.2
246.8,143.0
246.8,142.0
246.8,141.0
247.0,140.8
247.8,140.0
247.0,139.2
246.8,139.0
246.0,138.2
245.0,138.2
244.0,138.2
243.0,138.2
242.8,138.0
242.8,137.0
242.8,136.0
242.8,135.0
242.8,134.0
242.8,133.0
242.0,132.2
241.8,132.0
242.0,131.8
242.8,131.0
242.8,130.0
242.8,129.0
242.0,128.2
241.0,128.2
240.0,128.2
239.0,128.2
238.2,129.0
238.0,129.2
237.8,129.0
237.8,128.0
237.0,127.2
236.8,127.0
237.0,126.8
237.8,126.0
237.0,125.2
236.8,125.0
236.8,124.0
236.0,123.2
235.2,124.0
235.0,124.2
234.8,124.0
234.8,123.0
234.0,122.2
233.8,122.0
233.0,121.2
232.8,121.0
232.8,120.0
232.0,119.2
231.8,119.0
231.0,118.2
230.0,118.2
229.2,119.0
229.0,119.2
228.8,119.0
228.0,118.2
227.0,118.2
226.0,118.2
225.0,118.2
224.0,118.2
223.0,118.2
222.0,118.2
221.0,118.2
220.0,118.2
219.0,118.2
218.0,118.2
217.8,118.0
217.8,117.0
218.0,116.8
218.8,116.0
218.0,115.2
217.8,115.0
217.8,114.0
217.0,113.2
216.0,113.2
215.2,114.0
215.0,114.2
214.2,115.0
214.0,115.2
213.8,115.0
213.0,114.2
212.0,114.2
211.2,115.0
211.0,115.2
210.8,115.0
210.0,114.2
209.2,115.0
209.0,115.2
