x,y
771.0,143.2
770.0,143.2
769.0,143.2
768.0,143.2
767.8,143.0
767.8,142.0
767.8,141.0
768.0,140.8
768.8,140.0
768.0,139.2
767.2,140.0
767.0,140.2
766.0,140.2
765.8,140.0
766.0,139.8
766.8,139.0
766.0,138.2
765.0,138.2
764.8,138.0
764.8,137.0
764.8,136.0
764.8,135.0
764.8,134.0
764.8,133.0
764.0,132.2
763.2,133.0
763.0,133.2
762.0,133.2
761.0,133.2
760.8,133.0
760.0,132.2
759.2,133.0
759.0,133.2
758.0,133.2
757.0,133.2
756.0,133.2
755.0,133.2
754.8,133.0
754.0,132.2
753.2,133.0
753.2,134.0
753.0,134.2
752.8,134.0
752.0,133.2
751.2,134.0
751.0,134.2
750.8,134.0
750.0,133.2
749.2,134.0
749.0,134.2
748.0,134.2
747.2,135.0
747.0,135.2
746.8,135.0
746.8,134.0
747.0,133.8
747.8,133.0
747.0,132.2
746.2,133.0
746.0,133.2
745.8,133.0
745.0,132.2
744.0,132.2
743.0,132.2
742.8,132.0
742.0,131.2
741.0,131.2
740.0,131.2
739.0,131.2
738.0,131.2
737.0,131.2
736.0,131.2
735.8,131.0
735.0,130.2
734.2,131.0
734.0,131.2
733.2,132.0
733.0,132.2
732.0,132.2
731.0,132.2
730.0,132.2
729.0,132.2
728.2,133.0
728.2,134.0
729.0,134.8
729.2,135.0
729.2,136.0
729.2,137.0
729.2,138.0
729.2,139.0
729.0,139.2
728.2,140.0
728.0,140.2
727.0,140.2
726.2,141.0
727.0,141.8
728.0,141.8
728.2,142.0
728.0,142.2
727.2,143.0
728.0,143.8
728.2,144.0
728.0,144.2
727.2,145.0
728.0,145.8
728.2,146.0
728.2,147.0
728.2,148.0
728.2,149.0
728.0,149.2
727.8,149.0
727.0,148.2
726.2,149.0
726.0,149.2
725.2,150.0
725.2,151.0
726.0,151.8
726.2,152.0
727.0,152.8
727.2,153.0
727.2,154.0
727.2,155.0
727.2,156.0
727.2,157.0
727.0,157.2
726.2,158.0
726.2,159.0
727.0,159.8
727.2,160.0
727.0,160.2
726.2,161.0
727.0,161.8
727.2,162.0
727.0,162.2
726.2,163.0
726.2,164.0
726.2,165.0
726.0,165.2
725.2,166.0
726.0,166.8
726.2,167.0
726.2,168.0
726.0,168.2
725.2,169.0
725.2,170.0
726.0,170.8
726.2,171.0
726.2,172.0
726.2,173.0
726.0,173.2
725.2,174.0
725.2,175.0
725.2,176.0
725.2,177.0
725.2,178.0
725.2,179.0
725.2,180.0
725.2,181.0
725.2,182.0
725.2,183.0
725.2,184.0
725.2,185.0
