x,y
337.2,0.0
337.0,0.19999999999999996
336.2,1.0
336.2,2.0
336.0,2.2
335.2,3.0
335.0,3.2
334.2,4.0
334.0,4.2
333.2,5.0
333.0,5.2
332.2,6.0
332.2,7.0
332.0,7.2
331.2,8.0
331.0,8.2
330.2,9.0
330.0,9.2
329.2,10.0
329.0,10.2
328.2,11.0
328.0,11.2
327.2,12.0
327.2,13.0
327.0,13.2
326.2,14.0
326.0,14.2
325.2,15.0
325.0,15.2
324.0,15.2
323.2,16.0
323.2,17.0
323.0,17.2
322.0,17.2
321.2,18.0
322.0,18.8
323.0,18.8
323.2,19.0
323.0,19.2
322.2,20.0
322.0,20.2
321.8,20.0
321.0,19.2
320.2,20.0
321.0,20.8
321.2,21.0
321.2,22.0
321.0,22.2
320.2,23.0
320.2,24.0
320.0,24.2
319.0,24.2
318.2,25.0
319.0,25.8
319.2,26.0
319.0,26.2
318.2,27.0
318.0,27.2
317.0,27.2
316.2,28.0
316.2,29.0
316.0,29.2
315.2,30.0
315.0,30.2
314.2,31.0
314.0,31.2
313.2,32.0
313.0,32.2
312.2,33.0
312.0,33.2
311.0,33.2
310.2,34.0
310.0,34.2
309.8,34.0
309.8,33.0
309.0,32.2
308.2,33.0
308.2,34.0
308.2,35.0
308.0,35.2
307.2,36.0
307.2,37.0
307.2,38.0
308.0,38.8
308.2,39.0
308.0,39.2
307.2,40.0
307.2,41.0
307.2,42.0
307.2,43.0
307.0,43.2
306.8,43.0
306.0,42.2
305.2,43.0
306.0,43.8
306.2,44.0
306.0,44.2
305.2,45.0
305.2,46.0
305.2,47.0
305.0,47.2
304.2,48.0
304.0,48.2
303.2,49.0
303.0,49.2
302.2,50.0
302.2,51.0
302.0,51.2
301.0,51.2
300.2,52.0
301.0,52.8
301.2,53.0
301.0,53.2
300.2,54.0
300.2,55.0
300.2,56.0
300.0,56.2
299.2,57.0
299.0,57.2
298.2,58.0
298.2,59.0
298.0,59.2
297.2,60.0
297.0,60.2
296.8,60.0
296.0,59.2
295.2,60.0
296.0,60.8
296.2,61.0
296.2,62.0
296.2,63.0
296.0,63.2
295.8,63.0
295.0,62.2
294.2,63.0
295.0,63.8
295.2,64.0
295.0,64.2
294.2,65.0
294.2,66.0
294.2,67.0
294.2,68.0
294.2,69.0
294.2,70.0
294.2,71.0
294.2,72.0
294.2,73.0
294.2,74.0
294.2,75.0
294.2,76.0
294.2,77.0
294.0,77.2
293.2,78.0
293.0,78.2
292.0,78.2
291.2,79.0
291.2,80.0
291.0,80.2
290.2,81.0
290.0,81.2
289.2,82.0
289.0,82.2
288.0,82.2
287.0,82.2
286.0,82.2
285.2,83.0
286.0,83.8
286.2,84.0
286.2,85.0
286.0,85.2
285.2,86.0
285.0,86.2
284.0,86.2
283.2,87.0
283.2,88.0
283.0,88.2
282.2,89.0
282.2,90.0
282.2,91.0
282.0,91.2
281.2,92.0
281.2,93.0
281.0,93.2
280.0,93.2
279.2,94.0
280.0,94.8
280.2,95.0
280.0,95.2
279.0,95.2
278.2,96.0
279.0,96.8
279.2,97.0
279.0,97.2
278.2,98.0
278.2,99.0
278.0,99.2
277.2,100.0
277.0,100.2
276.0,100.2
275.2,101.0
275.2,102.0
276.0,102.8
276.2,103.0
276.0,103.2
275.2,104.0
275.2,105.0
275.2,106.0
275.0,106.2
274.2,107.0
274.0,107.2
273.2,108.0
273.2,109.0
273.2,110.0
273.2,111.0
273.2,112.0
273.0,112.2
272.2,113.0
272.2,114.0
272.2,115.0
272.2,116.0
272.2,117.0
272.2,118.0
272.2,119.0
272.2,120.0
272.2,121.0
272.2,122.0
272.2,123.0
272.0,123.2
271.2,124.0
271.2,125.0
271.2,126.0
271.0,126.2
270.2,127.0
270.0,127.2
269.2,128.0
269.0,128.2
268.2,129.0
268.2,130.0
268.0,130.2
267.2,131.0
267.2,132.0
267.2,133.0
267.2,134.0
267.2,135.0
267.0,135.2
266.8,135.0
266.8,134.0
266.8,133.0
266.8,132.0
266.0,131.2
265.2,132.0
265.2,133.0
265.2,134.0
265.2,135.0
266.0,135.8
266.2,136.0
266.2,137.0
266.2,138.0
266.0,138.2
265.2,139.0
265.0,139.2
264.2,140.0
264.0,140.2
263.2,141.0
263.2,142.0
263.2,143.0
263.2,144.0
263.0,144.2
262.2,145.0
262.0,145.2
261.2,146.0
261.2,147.0
261.2,148.0
261.2,149.0
261.2,150.0
261.2,151.0
261.2,152.0
261.0,152.2
260.2,153.0
260.2,154.0
260.2,155.0
260.0,155.2
259.0,155.2
258.2,156.0
258.2,157.0
258.2,158.0
258.2,159.0
258.0,159.2
257.2,160.0
257.2,161.0
257.2,162.0
257.2,163.0
257.0,163.2
256.2,164.0
256.2,165.0
256.0,165.2
255.2,166.0
256.0,166.8
256.2,167.0
256.0,167.2
255.2,168.0
255.2,169.0
255.0,169.2
254.2,170.0
254.0,170.2
253.2,171.0
253.2,172.0
253.2,173.0
253.2,174.0
253.2,175.0
253.2,176.0
253.2,177.0
253.2,178.0
253.2,179.0
253.2,180.0
253.2,181.0
253.2,182.0
253.2,183.0
253.2,184.0
253.2,185.0
253.2,186.0
253.0,186.2
252.2,187.0
252.2,188.0
252.0,188.2
251.2,189.0
251.2,190.0
251.0,190.2
250.0,190.2
249.2,191.0
249.2,192.0
249.2,193.0
249.2,194.0
249.2,195.0
249.0,195.2
248.2,196.0
248.2,197.0
248.2,198.0
248.2,199.0
248.2,200.0
248.2,201.0
248.2,202.0
248.0,202.2
247.2,203.0
247.2,204.0
247.2,205.0
247.2,206.0
247.2,207.0
247.2,208.0
247.2,209.0
247.2,210.0
247.2,211.0
247.2,212.0
247.2,213.0
247.2,214.0
247.2,215.0
247.2,216.0
247.2,217.0
247.2,218.0
247.2,219.0
247.0,219.2
246.0,219.2
245.2,220.0
245.2,221.0
245.2,222.0
245.2,223.0
245.2,224.0
245.0,224.2
244.2,225.0
244.2,226.0
244.2,227.0
244.2,228.0
244.2,229.0
244.2,230.0
244.2,231.0
244.2,232.0
244.0,232.2
243.0,232.2
242.2,233.0
242.2,234.0
242.2,235.0
243.0,235.8
243.2,236.0
243.2,237.0
243.2,238.0
243.2,239.0
243.2,240.0
243.2,241.0
243.0,241.2
242.8,241.0
242.0,240.2
