x,y
370.8,361.0
371.0,360.8
372.0,360.8
372.8,360.0
372.8,359.0
373.0,358.8
373.8,358.0
373.8,357.0
374.0,356.8
374.8,356.0
374.8,355.0
375.0,354.8
375.8,354.0
375.8,353.0
376.0,352.8
376.8,352.0
377.0,351.8
377.8,351.0
377.8,350.0
378.0,349.8
378.8,349.0
378.8,348.0
378.8,347.0
379.0,346.8
379.8,346.0
379.8,345.0
380.0,344.8
380.8,344.0
381.0,343.8
382.0,343.8
382.8,343.0
383.0,342.8
383.8,342.0
384.0,341.8
384.8,341.0
384.0,340.2
383.8,340.0
383.8,339.0
383.8,338.0
384.0,337.8
384.8,337.0
384.8,336.0
385.0,335.8
385.8,335.0
386.0,334.8
387.0,334.8
387.8,334.0
388.0,333.8
388.8,333.0
388.8,332.0
388.0,331.2
387.0,331.2
386.0,331.2
385.8,331.0
385.0,330.2
384.8,330.0
385.0,329.8
386.0,329.8
386.8,329.0
387.0,328.8
387.8,328.0
388.0,327.8
388.8,327.0
389.0,326.8
389.8,326.0
389.0,325.2
388.8,325.0
388.0,324.2
387.8,324.0
387.8,323.0
387.8,322.0
388.0,321.8
389.0,321.8
389.8,321.0
390.0,320.8
390.8,320.0
390.8,319.0
390.0,318.2
389.0,318.2
388.0,318.2
387.0,318.2
386.2,319.0
386.0,319.2
385.0,319.2
384.0,319.2
383.8,319.0
383.0,318.2
382.2,319.0
382.0,319.2
381.0,319.2
380.2,320.0
380.0,320.2
379.2,321.0
379.0,321.2
378.2,322.0
378.0,322.2
377.0,322.2
376.2,323.0
376.0,323.2
375.0,323.2
374.2,324.0
374.0,324.2
373.2,325.0
373.2,326.0
373.0,326.2
372.2,327.0
372.0,327.2
371.2,328.0
371.0,328.2
370.2,329.0
370.0,329.2
369.2,330.0
369.0,330.2
368.2,331.0
368.2,332.0
368.2,333.0
368.0,333.2
367.2,334.0
367.2,335.0
367.0,335.2
366.2,336.0
366.2,337.0
366.0,337.2
365.2,338.0
365.2,339.0
365.0,339.2
364.2,340.0
364.2,341.0
364.2,342.0
364.0,342.2
363.2,343.0
363.0,343.2
362.2,344.0
362.2,345.0
362.0,345.2
361.2,346.0
361.0,346.2
360.2,347.0
360.0,347.2
359.2,348.0
359.2,349.0
359.0,349.2
358.2,350.0
358.2,351.0
359.0,351.8
359.2,352.0
360.0,352.8
360.2,353.0
361.0,353.8
361.2,354.0
361.2,355.0
362.0,355.8
362.2,356.0
363.0,356.8
363.2,357.0
364.0,357.8
364.2,358.0
365.0,358.8
365.2,359.0
366.0,359.8
366.2,360.0
367.0,360.8
368.0,360.8
368.2,361.0
369.0,361.8
370.0,361.8
370.8,361.0
