x,y
383.8,429.0
384.0,428.8
384.8,428.0
384.8,427.0
384.0,426.2
383.8,426.0
383.8,425.0
383.0,424.2
382.8,424.0
382.8,423.0
382.8,422.0
382.8,421.0
382.8,420.0
382.8,419.0
382.8,418.0
382.8,417.0
382.8,416.0
382.8,415.0
382.0,414.2
381.8,414.0
381.8,413.0
381.8,412.0
381.8,411.0
381.8,410.0
381.8,409.0
381.8,408.0
381.8,407.0
381.8,406.0
381.8,405.0
381.8,404.0
381.8,403.0
382.0,402.8
382.8,402.0
382.8,401.0
382.8,400.0
382.8,399.0
382.8,398.0
382.8,397.0
383.0,396.8
384.0,396.8
384.8,396.0
385.0,395.8
385.8,395.0
386.0,394.8
386.8,394.0
387.0,393.8
388.0,393.8
388.8,393.0
389.0,392.8
390.0,392.8
390.8,392.0
391.0,391.8
392.0,391.8
392.8,391.0
392.8,390.0
392.8,389.0
392.8,388.0
392.8,387.0
392.8,386.0
392.8,385.0
392.0,384.2
391.8,384.0
391.0,383.2
390.8,383.0
390.0,382.2
389.8,382.0
389.0,381.2
388.8,381.0
388.8,380.0
388.8,379.0
388.8,378.0
388.0,377.2
387.8,377.0
387.0,376.2
386.0,376.2
385.8,376.0
385.0,375.2
384.0,375.2
383.0,375.2
382.0,375.2
381.0,375.2
380.0,375.2
379.8,375.0
379.0,374.2
378.8,374.0
378.0,373.2
377.0,373.2
376.8,373.0
376.0,372.2
375.2,373.0
375.0,373.2
374.0,373.2
373.0,373.2
372.0,373.2
371.8,373.0
371.0,372.2
370.0,372.2
369.0,372.2
368.0,372.2
367.0,372.2
366.0,372.2
365.2,373.0
365.0,373.2
364.0,373.2
363.0,373.2
362.0,373.2
361.0,373.2
360.0,373.2
359.0,373.2
358.2,374.0
358.2,375.0
358.0,375.2
357.2,376.0
357.0,376.2
356.2,377.0
356.2,378.0
356.0,378.2
355.8,378.0
355.0,377.2
354.8,377.0
354.0,376.2
353.0,376.2
352.0,376.2
351.2,377.0
351.0,377.2
350.2,378.0
350.0,378.2
349.2,379.0
349.2,380.0
349.0,380.2
348.2,381.0
348.2,382.0
348.0,382.2
347.0,382.2
346.8,382.0
346.0,381.2
345.0,381.2
344.2,382.0
344.0,382.2
343.0,382.2
342.2,383.0
342.0,383.2
341.2,384.0
341.2,385.0
341.2,386.0
341.2,387.0
341.2,388.0
342.0,388.8
342.2,389.0
342.0,389.2
341.0,389.2
340.0,389.2
339.2,390.0
339.0,390.2
338.2,391.0
338.2,392.0
338.2,393.0
338.2,394.0
338.2,395.0
338.2,396.0
338.2,397.0
338.0,397.2
337.2,398.0
337.2,399.0
337.2,400.0
337.2,401.0
337.2,402.0
337.2,403.0
337.2,404.0
337.2,405.0
337.0,405.2
336.2,406.0
336.2,407.0
336.2,408.0
336.2,409.0
337.0,409.8
337.2,410.0
337.2,411.0
338.0,411.8
338.2,412.0
339.0,412.8
339.2,413.0
340.0,413.8
340.2,414.0
340.2,415.0
341.0,415.8
341.2,416.0
341.2,417.0
342.0,417.8
342.2,418.0
343.0,418.8
344.0,418.8
345.0,418.8
346.0,418.8
347.0,418.8
348.0,418.8
348.8,418.0
349.0,417.8
349.8,417.0
349.8,416.0
350.0,415.8
350.8,415.0
351.0,414.8
351.8,414.0
352.0,413.8
352.8,413.0
353.0,412.8
354.0,412.8
355.0,412.8
355.8,412.0
356.0,411.8
357.0,411.8
357.2,412.0
358.0,412.8
359.0,412.8
360.0,412.8
360.2,413.0
361.0,413.8
362.0,413.8
363.0,413.8
363.2,414.0
364.0,414.8
364.2,415.0
365.0,415.8
365.2,416.0
366.0,416.8
367.0,416.8
367.2,417.0
368.0,417.8
368.2,418.0
369.0,418.8
369.2,419.0
370.0,419.8
370.2,420.0
371.0,420.8
372.0,420.8
372.2,421.0
373.0,421.8
373.2,422.0
374.0,422.8
374.2,423.0
375.0,423.8
376.0,423.8
376.2,424.0
377.0,424.8
377.2,425.0
378.0,425.8
378.2,426.0
378.0,426.2
377.2,427.0
378.0,427.8
378.8,427.0
379.0,426.8
379.2,427.0
380.0,427.8
380.2,428.0
380.2,429.0
381.0,429.8
382.0,429.8
383.0,429.8
383.8,429.0
