x,y
385.8,799.0
386.0,798.8
387.0,798.8
388.0,798.8
388.8,798.0
388.8,797.0
388.0,796.2
387.0,796.2
386.8,796.0
387.0,795.8
388.0,795.8
388.8,795.0
388.8,794.0
389.0,793.8
389.8,793.0
390.0,792.8
390.8,792.0
391.0,791.8
391.2,792.0
392.0,792.8
393.0,792.8
393.8,792.0
393.0,791.2
392.8,791.0
393.0,790.8
393.8,790.0
393.8,789.0
394.0,788.8
394.8,788.0
394.0,787.2
393.8,787.0
394.0,786.8
395.0,786.8
395.2,787.0
396.0,787.8
396.8,787.0
397.0,786.8
397.2,787.0
398.0,787.8
398.8,787.0
398.8,786.0
399.0,785.8
400.0,785.8
401.0,785.8
401.8,785.0
402.0,784.8
403.0,784.8
404.0,784.8
404.2,785.0
405.0,785.8
405.2,786.0
405.2,787.0
405.0,787.2
404.2,788.0
405.0,788.8
405.8,788.0
406.0,787.8
406.8,787.0
407.0,786.8
407.2,787.0
408.0,787.8
408.2,788.0
409.0,788.8
410.0,788.8
411.0,788.8
411.2,789.0
411.0,789.2
410.2,790.0
410.0,790.2
409.2,791.0
409.2,792.0
410.0,792.8
410.8,792.0
410.8,791.0
411.0,790.8
412.0,790.8
413.0,790.8
413.2,791.0
414.0,791.8
414.2,792.0
415.0,792.8
415.2,793.0
416.0,793.8
416.8,793.0
416.0,792.2
415.8,792.0
415.8,791.0
416.0,790.8
417.0,790.8
418.0,790.8
418.2,791.0
418.0,791.2
417.2,792.0
417.2,793.0
418.0,793.8
418.8,793.0
419.0,792.8
419.8,792.0
419.8,791.0
419.8,790.0
420.0,789.8
420.8,789.0
421.0,788.8
421.8,788.0
422.0,787.8
422.2,788.0
423.0,788.8
423.8,788.0
424.0,787.8
424.8,787.0
424.8,786.0
424.8,785.0
424.8,784.0
424.8,783.0
424.8,782.0
424.8,781.0
424.8,780.0
424.8,779.0
424.8,778.0
424.8,777.0
424.8,776.0
424.8,775.0
424.8,774.0
424.8,773.0
424.8,772.0
424.0,771.2
423.8,771.0
424.0,770.8
424.8,770.0
424.8,769.0
424.0,768.2
423.0,768.2
422.8,768.0
422.0,767.2
421.8,767.0
421.0,766.2
420.8,766.0
420.8,765.0
420.0,764.2
419.8,764.0
419.0,763.2
418.8,763.0
418.0,762.2
417.8,762.0
417.0,761.2
416.8,761.0
416.0,760.2
415.0,760.2
414.8,760.0
414.0,759.2
413.8,759.0
413.0,758.2
412.8,758.0
412.0,757.2
411.0,757.2
410.8,757.0
410.8,756.0
410.8,755.0
410.8,754.0
410.8,753.0
410.0,752.2
409.0,752.2
408.8,752.0
409.0,751.8
409.8,751.0
409.8,750.0
409.0,749.2
408.0,749.2
407.0,749.2
406.0,749.2
405.0,749.2
404.0,749.2
403.0,749.2
402.0,749.2
401.0,749.2
400.0,749.2
399.8,749.0
399.8,748.0
399.8,747.0
399.0,746.2
398.2,747.0
398.0,747.2
397.8,747.0
397.8,746.0
398.0,745.8
398.8,745.0
398.0,744.2
397.0,744.2
396.8,744.0
396.8,743.0
396.0,742.2
395.0,742.2
394.0,742.2
393.0,742.2
392.0,742.2
391.0,742.2
390.0,742.2
389.8,742.0
389.0,741.2
388.2,742.0
388.0,742.2
387.0,742.2
386.2,743.0
386.0,743.2
385.8,743.0
385.8,742.0
385.0,741.2
384.8,741.0
384.0,740.2
383.0,740.2
382.2,741.0
382.0,741.2
381.0,741.2
380.8,741.0
380.8,740.0
380.0,739.2
379.0,739.2
378.0,739.2
377.0,739.2
376.0,739.2
375.8,739.0
375.0,738.2
374.0,738.2
373.0,738.2
372.0,738.2
371.8,738.0
371.0,737.2
370.0,737.2
369.2,738.0
369.0,738.2
368.0,738.2
367.0,738.2
366.2,739.0
366.0,739.2
365.0,739.2
364.8,739.0
364.0,738.2
363.0,738.2
362.8,738.0
362.0,737.2
361.0,737.2
360.2,738.0
360.0,738.2
359.8,738.0
359.8,737.0
359.0,736.2
358.2,737.0
358.0,737.2
357.2,738.0
357.0,738.2
356.8,738.0
356.0,737.2
355.2,738.0
355.0,738.2
354.8,738.0
354.8,737.0
354.0,736.2
353.0,736.2
352.0,736.2
351.2,737.0
352.0,737.8
353.0,737.8
353.2,738.0
354.0,738.8
354.2,739.0
354.0,739.2
353.0,739.2
352.8,739.0
352.0,738.2
351.0,738.2
350.2,739.0
351.0,739.8
352.0,739.8
352.2,740.0
352.0,740.2
351.0,740.2
350.2,741.0
350.0,741.2
349.2,742.0
349.0,742.2
348.2,743.0
348.0,743.2
347.8,743.0
347.8,742.0
347.0,741.2
346.2,742.0
346.2,743.0
346.0,743.2
345.8,743.0
345.8,742.0
345.0,741.2
344.0,741.2
343.0,741.2
342.2,742.0
342.0,742.2
341.0,742.2
340.0,742.2
339.0,742.2
338.0,742.2
337.2,743.0
338.0,743.8
338.2,744.0
338.2,745.0
338.2,746.0
338.0,746.2
337.0,746.2
336.2,747.0
336.2,748.0
336.2,749.0
336.2,750.0
336.2,751.0
336.2,752.0
336.2,753.0
336.0,753.2
335.2,754.0
335.2,755.0
335.2,756.0
335.2,757.0
335.0,757.2
334.8,757.0
334.8,756.0
334.0,755.2
333.2,756.0
333.2,757.0
333.0,757.2
332.0,757.2
331.0,757.2
330.0,757.2
329.0,757.2
328.0,757.2
327.0,757.2
326.0,757.2
325.0,757.2
324.2,758.0
324.0,758.2
323.2,759.0
323.2,760.0
323.0,760.2
322.0,760.2
321.2,761.0
321.0,761.2
320.0,761.2
319.2,762.0
319.0,762.2
318.0,762.2
317.0,762.2
316.0,762.2
315.2,763.0
315.0,763.2
314.2,764.0
314.2,765.0
314.2,766.0
314.2,767.0
314.0,767.2
313.0,767.2
312.2,768.0
312.0,768.2
311.2,769.0
311.2,770.0
311.0,770.2
310.2,771.0
310.2,772.0
310.0,772.2
309.8,772.0
309.8,771.0
309.0,770.2
308.2,771.0
308.2,772.0
308.2,773.0
309.0,773.8
309.2,774.0
309.2,775.0
309.2,776.0
309.0,776.2
308.0,776.2
307.2,777.0
308.0,777.8
309.0,777.8
309.2,778.0
309.2,779.0
310.0,779.8
311.0,779.8
311.2,780.0
311.0,780.2
310.0,780.2
309.0,780.2
308.8,780.0
308.0,779.2
307.2,780.0
307.0,780.2
306.2,781.0
306.2,782.0
307.0,782.8
307.2,783.0
307.2,784.0
307.2,785.0
307.2,786.0
307.2,787.0
307.2,788.0
307.2,789.0
307.2,790.0
307.0,790.2
306.2,791.0
306.2,792.0
306.2,793.0
306.2,794.0
307.0,794.8
307.2,795.0
307.0,795.2
306.2,796.0
306.0,796.2
305.2,797.0
305.2,798.0
305.2,799.0
