x,y
13.8,624.0
14.0,623.8
15.0,623.8
16.0,623.8
17.0,623.8
18.0,623.8
19.0,623.8
19.8,623.0
20.0,622.8
21.0,622.8
22.0,622.8
22.8,622.0
23.0,621.8
24.0,621.8
24.8,621.0
25.0,620.8
25.8,620.0
26.0,619.8
27.0,619.8
27.8,619.0
28.0,618.8
28.8,618.0
29.0,617.8
30.0,617.8
30.8,617.0
31.0,616.8
31.8,616.0
32.0,615.8
32.8,615.0
33.0,614.8
33.8,614.0
34.0,613.8
34.8,613.0
34.8,612.0
35.0,611.8
35.8,611.0
35.8,610.0
36.0,609.8
36.8,609.0
36.8,608.0
37.0,607.8
37.8,607.0
37.8,606.0
38.0,605.8
38.8,605.0
38.8,604.0
39.0,603.8
39.8,603.0
40.0,602.8
40.8,602.0
40.8,601.0
41.0,600.8
41.8,600.0
42.0,599.8
42.8,599.0
42.8,598.0
42.8,597.0
42.8,596.0
42.8,595.0
43.0,594.8
43.8,594.0
43.8,593.0
43.8,592.0
43.8,591.0
43.8,590.0
44.0,589.8
44.8,589.0
44.8,588.0
45.0,587.8
45.8,587.0
45.8,586.0
45.8,585.0
45.8,584.0
46.0,583.8
46.8,583.0
46.8,582.0
47.0,581.8
47.8,581.0
47.8,580.0
48.0,579.8
48.8,579.0
48.8,578.0
48.8,577.0
49.0,576.8
49.8,576.0
49.8,575.0
50.0,574.8
50.8,574.0
50.8,573.0
51.0,572.8
51.8,572.0
52.0,571.8
52.8,571.0
53.0,570.8
53.8,570.0
53.8,569.0
54.0,568.8
54.8,568.0
55.0,567.8
55.8,567.0
55.8,566.0
56.0,565.8
56.8,565.0
57.0,564.8
57.8,564.0
58.0,563.8
58.8,563.0
59.0,562.8
59.8,562.0
60.0,561.8
60.8,561.0
61.0,560.8
62.0,560.8
62.8,560.0
63.0,559.8
64.0,559.8
64.8,559.0
65.0,558.8
65.8,558.0
65.8,557.0
65.0,556.2
64.0,556.2
63.0,556.2
62.0,556.2
61.0,556.2
60.0,556.2
59.2,557.0
59.0,557.2
58.0,557.2
57.0,557.2
56.0,557.2
55.2,558.0
55.0,558.2
54.8,558.0
54.8,557.0
55.0,556.8
56.0,556.8
56.8,556.0
57.0,555.8
57.8,555.0
58.0,554.8
58.8,554.0
59.0,553.8
59.8,553.0
60.0,552.8
61.0,552.8
61.8,552.0
62.0,551.8
62.8,551.0
62.8,550.0
63.0,549.8
63.8,549.0
63.0,548.2
62.8,548.0
62.0,547.2
61.0,547.2
60.2,548.0
60.0,548.2
59.0,548.2
58.0,548.2
57.0,548.2
56.2,549.0
56.0,549.2
55.2,550.0
55.0,550.2
54.0,550.2
53.2,551.0
53.0,551.2
52.2,552.0
52.0,552.2
51.0,552.2
50.2,553.0
50.0,553.2
49.8,553.0
49.8,552.0
49.8,551.0
49.8,550.0
50.0,549.8
50.8,549.0
50.8,548.0
50.8,547.0
51.0,546.8
51.8,546.0
51.0,545.2
50.8,545.0
50.8,544.0
50.8,543.0
50.8,542.0
50.8,541.0
50.8,540.0
50.0,539.2
49.8,539.0
49.0,538.2
48.0,538.2
47.2,539.0
47.0,539.2
46.2,540.0
46.2,541.0
46.2,542.0
46.2,543.0
46.2,544.0
46.0,544.2
45.2,545.0
45.2,546.0
45.0,546.2
44.2,547.0
44.2,548.0
44.0,548.2
43.2,549.0
43.2,550.0
43.0,550.2
42.8,550.0
42.8,549.0
42.8,548.0
42.8,547.0
42.8,546.0
42.8,545.0
42.8,544.0
42.8,543.0
42.8,542.0
42.8,541.0
42.8,540.0
42.0,539.2
41.8,539.0
41.0,538.2
40.8,538.0
40.0,537.2
39.2,538.0
39.0,538.2
38.2,539.0
38.2,540.0
38.2,541.0
38.2,542.0
38.2,543.0
38.2,544.0
38.0,544.2
37.2,545.0
37.2,546.0
37.2,547.0
37.0,547.2
36.2,548.0
36.2,549.0
36.0,549.2
35.2,550.0
35.0,550.2
34.2,551.0
34.2,552.0
34.0,552.2
33.2,553.0
33.2,554.0
33.0,554.2
32.2,555.0
32.2,556.0
32.0,556.2
31.2,557.0
31.0,557.2
30.0,557.2
29.2,558.0
29.0,558.2
28.2,559.0
28.0,559.2
27.2,560.0
27.2,561.0
27.0,561.2
26.2,562.0
26.0,562.2
25.2,563.0
25.0,563.2
24.0,563.2
23.2,564.0
23.0,564.2
22.2,565.0
22.2,566.0
22.0,566.2
21.0,566.2
20.2,567.0
20.2,568.0
20.2,569.0
