x,y
553.8,330.0
554.0,329.8
555.0,329.8
556.0,329.8
557.0,329.8
558.0,329.8
559.0,329.8
560.0,329.8
561.0,329.8
562.0,329.8
563.0,329.8
564.0,329.8
564.8,329.0
565.0,328.8
566.0,328.8
567.0,328.8
568.0,328.8
569.0,328.8
570.0,328.8
571.0,328.8
572.0,328.8
573.0,328.8
574.0,328.8
575.0,328.8
576.0,328.8
577.0,328.8
578.0,328.8
578.8,328.0
579.0,327.8
580.0,327.8
580.8,327.0
581.0,326.8
582.0,326.8
583.0,326.8
583.8,326.0
584.0,325.8
584.8,325.0
585.0,324.8
586.0,324.8
586.8,324.0
587.0,323.8
587.8,323.0
588.0,322.8
588.8,322.0
589.0,321.8
590.0,321.8
590.8,321.0
591.0,320.8
591.8,320.0
592.0,319.8
592.8,319.0
593.0,318.8
593.8,318.0
594.0,317.8
594.8,317.0
595.0,316.8
595.8,316.0
596.0,315.8
596.8,315.0
597.0,314.8
597.8,314.0
597.8,313.0
598.0,312.8
598.8,312.0
599.0,311.8
599.8,311.0
599.8,310.0
600.0,309.8
600.8,309.0
601.0,308.8
601.8,308.0
601.8,307.0
602.0,306.8
602.8,306.0
603.0,305.8
603.8,305.0
603.8,304.0
604.0,303.8
604.8,303.0
604.8,302.0
605.0,301.8
605.8,301.0
605.8,300.0
606.0,299.8
606.8,299.0
606.8,298.0
607.0,297.8
607.8,297.0
608.0,296.8
608.8,296.0
608.8,295.0
608.8,294.0
609.0,293.8
609.8,293.0
610.0,292.8
610.8,292.0
610.8,291.0
611.0,290.8
611.8,290.0
611.8,289.0
612.0,288.8
612.8,288.0
612.8,287.0
612.8,286.0
612.8,285.0
613.0,284.8
613.8,284.0
613.8,283.0
613.8,282.0
614.0,281.8
615.0,281.8
615.8,281.0
615.8,280.0
615.0,279.2
614.8,279.0
614.8,278.0
615.0,277.8
616.0,277.8
616.8,277.0
616.8,276.0
616.8,275.0
616.0,274.2
615.8,274.0
616.0,273.8
616.8,273.0
616.8,272.0
616.8,271.0
616.8,270.0
616.8,269.0
617.0,268.8
618.0,268.8
618.8,268.0
618.8,267.0
618.0,266.2
617.8,266.0
617.8,265.0
618.0,264.8
619.0,264.8
620.0,264.8
620.8,264.0
620.8,263.0
620.0,262.2
619.0,262.2
618.8,262.0
618.0,261.2
617.8,261.0
617.8,260.0
618.0,259.8
618.8,259.0
618.8,258.0
619.0,257.8
619.8,257.0
619.8,256.0
619.8,255.0
619.8,254.0
619.8,253.0
619.8,252.0
619.8,251.0
620.0,250.8
620.8,250.0
620.8,249.0
620.8,248.0
620.0,247.2
619.8,247.0
619.8,246.0
619.8,245.0
619.8,244.0
619.8,243.0
620.0,242.8
620.8,242.0
620.8,241.0
620.8,240.0
620.8,239.0
621.0,238.8
621.8,238.0
621.8,237.0
621.8,236.0
622.0,235.8
622.8,235.0
622.8,234.0
622.8,233.0
623.0,232.8
623.8,232.0
623.8,231.0
623.8,230.0
624.0,229.8
624.8,229.0
625.0,228.8
625.8,228.0
626.0,227.8
626.8,227.0
627.0,226.8
627.8,226.0
628.0,225.8
628.8,225.0
629.0,224.8
629.8,224.0
630.0,223.8
630.8,223.0
631.0,222.8
631.8,222.0
632.0,221.8
632.8,221.0
633.0,220.8
633.8,220.0
634.0,219.8
634.8,219.0
635.0,218.8
635.8,218.0
636.0,217.8
636.8,217.0
637.0,216.8
638.0,216.8
639.0,216.8
640.0,216.8
641.0,216.8
641.8,216.0
642.0,215.8
642.8,215.0
642.8,214.0
642.0,213.2
641.0,213.2
640.0,213.2
639.0,213.2
638.0,213.2
637.0,213.2
636.0,213.2
635.0,213.2
634.8,213.0
634.0,212.2
633.0,212.2
632.2,213.0
632.0,213.2
631.0,213.2
630.0,213.2
629.0,213.2
628.0,213.2
627.0,213.2
626.0,213.2
625.0,213.2
624.2,214.0
624.0,214.2
623.0,214.2
622.2,215.0
622.0,215.2
621.0,215.2
620.2,216.0
620.0,216.2
619.2,217.0
619.0,217.2
618.2,218.0
618.0,218.2
617.2,219.0
617.0,219.2
616.0,219.2
615.2,220.0
615.0,220.2
614.2,221.0
614.0,221.2
613.2,222.0
613.0,222.2
612.2,223.0
612.2,224.0
612.0,224.2
611.2,225.0
611.0,225.2
610.2,226.0
610.0,226.2
609.2,227.0
609.0,227.2
608.2,228.0
608.2,229.0
608.0,229.2
607.2,230.0
607.2,231.0
607.0,231.2
606.2,232.0
606.0,232.2
605.2,233.0
605.2,234.0
605.0,234.2
604.2,235.0
604.0,235.2
603.8,235.0
603.8,234.0
603.8,233.0
604.0,232.8
604.8,232.0
604.8,231.0
604.8,230.0
605.0,229.8
605.8,229.0
605.8,228.0
605.8,227.0
606.0,226.8
606.8,226.0
606.8,225.0
606.8,224.0
607.0,223.8
607.8,223.0
607.8,222.0
607.8,221.0
607.8,220.0
607.8,219.0
607.8,218.0
607.8,217.0
607.8,216.0
607.8,215.0
607.8,214.0
607.8,213.0
607.8,212.0
607.8,211.0
607.8,210.0
607.8,209.0
607.8,208.0
607.8,207.0
607.8,206.0
607.8,205.0
607.8,204.0
607.8,203.0
607.8,202.0
607.8,201.0
607.8,200.0
607.8,199.0
607.8,198.0
607.8,197.0
607.8,196.0
607.8,195.0
607.8,194.0
607.8,193.0
607.8,192.0
607.8,191.0
607.8,190.0
607.8,189.0
607.8,188.0
607.8,187.0
607.8,186.0
607.8,185.0
607.0,184.2
606.8,184.0
606.8,183.0
606.8,182.0
606.0,181.2
605.2,182.0
605.0,182.2
604.8,182.0
604.8,181.0
604.0,180.2
603.8,180.0
603.8,179.0
603.8,178.0
603.0,177.2
602.8,177.0
602.8,176.0
602.8,175.0
602.0,174.2
601.0,174.2
600.2,175.0
600.0,175.2
599.2,176.0
599.2,177.0
599.2,178.0
599.0,178.2
598.2,179.0
598.2,180.0
598.2,181.0
598.2,182.0
598.0,182.2
597.2,183.0
598.0,183.8
598.2,184.0
598.2,185.0
598.0,185.2
597.2,186.0
597.2,187.0
598.0,187.8
598.2,188.0
598.2,189.0
598.0,189.2
597.2,190.0
597.2,191.0
597.2,192.0
597.2,193.0
597.2,194.0
597.0,194.2
596.2,195.0
596.2,196.0
596.2,197.0
596.2,198.0
596.0,198.2
595.2,199.0
595.0,199.2
594.2,200.0
594.2,201.0
594.0,201.2
593.2,202.0
593.2,203.0
593.2,204.0
593.0,204.2
592.2,205.0
592.2,206.0
592.2,207.0
592.0,207.2
591.2,208.0
591.2,209.0
591.0,209.2
590.2,210.0
590.2,211.0
590.0,211.2
589.2,212.0
589.2,213.0
589.0,213.2
588.2,214.0
588.2,215.0
588.0,215.2
587.2,216.0
587.2,217.0
587.2,218.0
587.0,218.2
586.2,219.0
586.2,220.0
586.2,221.0
586.2,222.0
586.0,222.2
585.2,223.0
585.0,223.2
584.2,224.0
584.2,225.0
584.0,225.2
583.8,225.0
583.8,224.0
583.8,223.0
583.0,222.2
582.8,222.0
582.8,221.0
582.8,220.0
582.8,219.0
582.8,218.0
582.8,217.0
582.8,216.0
582.8,215.0
582.0,214.2
581.8,214.0
581.8,213.0
581.8,212.0
581.8,211.0
581.8,210.0
581.8,209.0
581.8,208.0
581.8,207.0
581.8,206.0
581.8,205.0
581.8,204.0
581.8,203.0
581.8,202.0
581.8,201.0
581.8,200.0
581.0,199.2
580.8,199.0
580.8,198.0
580.8,197.0
580.8,196.0
580.8,195.0
580.8,194.0
580.0,193.2
579.8,193.0
579.8,192.0
579.0,191.2
578.8,191.0
578.0,190.2
577.8,190.0
577.0,189.2
576.8,189.0
576.0,188.2
575.0,188.2
574.0,188.2
573.0,188.2
572.2,189.0
572.0,189.2
571.2,190.0
571.2,191.0
571.2,192.0
571.2,193.0
572.0,193.8
572.2,194.0
573.0,194.8
573.2,195.0
574.0,195.8
574.2,196.0
574.2,197.0
575.0,197.8
575.2,198.0
575.2,199.0
575.2,200.0
575.2,201.0
576.0,201.8
576.2,202.0
576.2,203.0
576.2,204.0
576.0,204.2
575.2,205.0
575.2,206.0
575.2,207.0
575.2,208.0
575.0,208.2
574.0,208.2
573.2,209.0
573.2,210.0
573.2,211.0
573.2,212.0
573.0,212.2
572.2,213.0
572.0,213.2
571.2,214.0
571.2,215.0
571.0,215.2
570.2,216.0
570.2,217.0
570.2,218.0
570.0,218.2
569.2,219.0
569.0,219.2
568.2,220.0
568.2,221.0
568.0,221.2
567.2,222.0
567.0,222.2
566.2,223.0
566.2,224.0
566.0,224.2
565.2,225.0
565.0,225.2
564.2,226.0
564.0,226.2
563.2,227.0
563.0,227.2
562.2,228.0
562.0,228.2
561.2,229.0
561.2,230.0
561.0,230.2
560.2,231.0
560.0,231.2
559.2,232.0
559.0,232.2
558.2,233.0
558.0,233.2
557.2,234.0
557.0,234.2
556.2,235.0
556.0,235.2
555.2,236.0
555.2,237.0
555.0,237.2
554.2,238.0
554.2,239.0
554.2,240.0
554.0,240.2
553.2,241.0
553.0,241.2
552.2,242.0
552.0,242.2
551.2,243.0
551.2,244.0
551.2,245.0
551.0,245.2
550.2,246.0
550.0,246.2
549.2,247.0
549.0,247.2
548.8,247.0
548.8,246.0
548.0,245.2
547.2,246.0
547.0,246.2
546.2,247.0
546.2,248.0
546.2,249.0
547.0,249.8
547.2,250.0
547.0,250.2
546.2,251.0
546.2,252.0
546.0,252.2
545.2,253.0
545.0,253.2
544.0,253.2
543.2,254.0
543.2,255.0
543.0,255.2
542.8,255.0
542.0,254.2
541.2,255.0
541.2,256.0
541.2,257.0
541.2,258.0
541.0,258.2
540.2,259.0
540.2,260.0
540.0,260.2
539.2,261.0
539.2,262.0
539.2,263.0
539.0,263.2
538.2,264.0
538.2,265.0
538.2,266.0
538.2,267.0
538.0,267.2
537.2,268.0
537.0,268.2
536.2,269.0
536.2,270.0
536.0,270.2
535.2,271.0
535.2,272.0
535.2,273.0
535.0,273.2
534.2,274.0
534.2,275.0
534.0,275.2
533.2,276.0
533.2,277.0
533.2,278.0
533.2,279.0
533.0,279.2
532.2,280.0
532.2,281.0
532.2,282.0
532.0,282.2
531.2,283.0
531.2,284.0
531.2,285.0
531.2,286.0
531.2,287.0
531.2,288.0
531.2,289.0
531.2,290.0
531.2,291.0
531.0,291.2
530.2,292.0
530.2,293.0
530.2,294.0
530.2,295.0
530.2,296.0
530.2,297.0
530.2,298.0
530.2,299.0
530.2,300.0
531.0,300.8
531.2,301.0
531.2,302.0
531.2,303.0
531.2,304.0
531.2,305.0
531.2,306.0
531.2,307.0
531.2,308.0
531.2,309.0
532.0,309.8
532.2,310.0
532.2,311.0
533.0,311.8
533.2,312.0
533.2,313.0
534.0,313.8
534.2,314.0
535.0,314.8
535.2,315.0
536.0,315.8
536.2,316.0
537.0,316.8
537.2,317.0
538.0,317.8
538.2,318.0
539.0,318.8
539.2,319.0
539.2,320.0
540.0,320.8
540.2,321.0
541.0,321.8
541.2,322.0
542.0,322.8
542.2,323.0
543.0,323.8
543.2,324.0
544.0,324.8
544.2,325.0
544.2,326.0
545.0,326.8
546.0,326.8
546.2,327.0
547.0,327.8
548.0,327.8
549.0,327.8
549.2,328.0
550.0,328.8
550.2,329.0
551.0,329.8
552.0,329.8
552.2,330.0
553.0,330.8
553.8,330.0
