x,y
283.8,476.0
284.0,475.8
284.8,475.0
284.0,474.2
283.8,474.0
283.8,473.0
284.0,472.8
285.0,472.8
286.0,472.8
287.0,472.8
288.0,472.8
289.0,472.8
290.0,472.8
291.0,472.8
291.2,473.0
291.2,474.0
292.0,474.8
293.0,474.8
294.0,474.8
295.0,474.8
296.0,474.8
297.0,474.8
297.8,474.0
297.8,473.0
298.0,472.8
298.8,472.0
298.8,471.0
298.8,470.0
298.8,469.0
298.0,468.2
297.8,468.0
297.8,467.0
297.8,466.0
297.8,465.0
297.8,464.0
297.8,463.0
297.8,462.0
297.0,461.2
296.8,461.0
296.0,460.2
295.8,460.0
295.0,459.2
294.8,459.0
294.0,458.2
293.8,458.0
293.0,457.2
292.8,457.0
292.0,456.2
291.0,456.2
290.0,456.2
289.8,456.0
289.0,455.2
288.8,455.0
288.0,454.2
287.0,454.2
286.0,454.2
285.8,454.0
285.0,453.2
284.8,453.0
284.0,452.2
283.8,452.0
283.0,451.2
282.8,451.0
282.0,450.2
281.8,450.0
281.0,449.2
280.8,449.0
280.0,448.2
279.8,448.0
279.8,447.0
279.8,446.0
279.8,445.0
280.0,444.8
280.8,444.0
281.0,443.8
281.8,443.0
281.8,442.0
281.8,441.0
281.8,440.0
281.8,439.0
281.8,438.0
281.8,437.0
281.8,436.0
281.8,435.0
281.8,434.0
281.0,433.2
280.8,433.0
280.0,432.2
279.8,432.0
279.0,431.2
278.8,431.0
278.0,430.2
277.8,430.0
277.0,429.2
276.8,429.0
276.0,428.2
275.0,428.2
274.0,428.2
273.8,428.0
273.0,427.2
272.8,427.0
272.0,426.2
271.8,426.0
271.0,425.2
270.8,425.0
270.0,424.2
269.0,424.2
268.0,424.2
267.8,424.0
267.0,423.2
266.8,423.0
266.0,422.2
265.8,422.0
265.0,421.2
264.8,421.0
264.0,420.2
263.8,420.0
263.0,419.2
262.8,419.0
262.0,418.2
261.8,418.0
261.0,417.2
260.8,417.0
260.0,416.2
259.8,416.0
259.8,415.0
259.8,414.0
259.8,413.0
259.8,412.0
259.8,411.0
259.8,410.0
259.8,409.0
259.8,408.0
259.0,407.2
258.8,407.0
258.0,406.2
257.8,406.0
257.8,405.0
257.8,404.0
257.8,403.0
257.8,402.0
257.8,401.0
257.8,400.0
257.8,399.0
257.8,398.0
257.8,397.0
257.8,396.0
257.8,395.0
257.8,394.0
257.8,393.0
258.0,392.8
258.8,392.0
259.0,391.8
259.8,391.0
259.8,390.0
259.8,389.0
259.8,388.0
259.8,387.0
259.8,386.0
259.8,385.0
259.8,384.0
259.8,383.0
259.8,382.0
259.8,381.0
259.8,380.0
259.0,379.2
258.8,379.0
258.0,378.2
257.8,378.0
257.0,377.2
256.8,377.0
256.0,376.2
255.0,376.2
254.0,376.2
253.2,377.0
253.0,377.2
252.8,377.0
252.0,376.2
251.0,376.2
250.8,376.0
251.0,375.8
251.8,375.0
251.8,374.0
251.8,373.0
251.8,372.0
251.8,371.0
252.0,370.8
253.0,370.8
253.8,370.0
253.8,369.0
253.8,368.0
253.8,367.0
253.8,366.0
253.8,365.0
254.0,364.8
254.8,364.0
255.0,363.8
255.8,363.0
255.8,362.0
255.8,361.0
256.0,360.8
256.8,360.0
257.0,359.8
257.8,359.0
257.8,358.0
257.8,357.0
257.8,356.0
257.8,355.0
257.8,354.0
257.8,353.0
257.8,352.0
257.8,351.0
257.8,350.0
257.8,349.0
257.8,348.0
257.8,347.0
257.8,346.0
257.8,345.0
258.0,344.8
258.8,344.0
259.0,343.8
259.8,343.0
260.0,342.8
261.0,342.8
262.0,342.8
263.0,342.8
264.0,342.8
265.0,342.8
266.0,342.8
267.0,342.8
268.0,342.8
269.0,342.8
270.0,342.8
271.0,342.8
272.0,342.8
272.8,342.0
272.8,341.0
273.0,340.8
273.8,340.0
273.8,339.0
273.8,338.0
273.8,337.0
273.8,336.0
273.8,335.0
273.8,334.0
273.0,333.2
272.8,333.0
272.0,332.2
271.0,332.2
270.0,332.2
269.0,332.2
268.0,332.2
267.0,332.2
266.0,332.2
265.0,332.2
264.0,332.2
263.8,332.0
263.8,331.0
263.0,330.2
262.0,330.2
261.8,330.0
261.8,329.0
261.8,328.0
261.8,327.0
262.0,326.8
263.0,326.8
263.8,326.0
263.8,325.0
264.0,324.8
264.8,324.0
265.0,323.8
265.8,323.0
265.8,322.0
265.8,321.0
265.0,320.2
264.8,320.0
265.0,319.8
265.8,319.0
265.8,318.0
265.0,317.2
264.8,317.0
264.0,316.2
263.0,316.2
262.0,316.2
261.0,316.2
260.0,316.2
259.0,316.2
258.0,316.2
257.0,316.2
256.2,317.0
256.0,317.2
255.2,318.0
255.0,318.2
254.0,318.2
253.0,318.2
252.0,318.2
251.0,318.2
250.2,319.0
250.0,319.2
249.8,319.0
249.0,318.2
248.0,318.2
247.8,318.0
247.8,317.0
247.8,316.0
247.8,315.0
248.0,314.8
248.8,314.0
249.0,313.8
249.8,313.0
250.0,312.8
251.0,312.8
251.8,312.0
251.8,311.0
251.8,310.0
251.8,309.0
251.8,308.0
251.8,307.0
251.8,306.0
251.8,305.0
251.0,304.2
250.0,304.2
249.8,304.0
249.8,303.0
250.0,302.8
250.8,302.0
251.0,301.8
251.8,301.0
252.0,300.8
252.8,300.0
253.0,299.8
253.8,299.0
254.0,298.8
254.8,298.0
255.0,297.8
255.8,297.0
256.0,296.8
256.8,296.0
257.0,295.8
257.8,295.0
258.0,294.8
258.8,294.0
259.0,293.8
259.8,293.0
259.8,292.0
259.8,291.0
259.8,290.0
259.8,289.0
259.8,288.0
259.8,287.0
259.0,286.2
258.0,286.2
257.0,286.2
256.0,286.2
255.0,286.2
254.0,286.2
253.0,286.2
252.0,286.2
251.0,286.2
250.0,286.2
249.0,286.2
248.8,286.0
249.0,285.8
249.8,285.0
250.0,284.8
251.0,284.8
251.8,284.0
251.8,283.0
252.0,282.8
252.8,282.0
253.0,281.8
253.8,281.0
254.0,280.8
254.8,280.0
255.0,279.8
255.8,279.0
256.0,278.8
256.8,278.0
257.0,277.8
257.8,277.0
258.0,276.8
258.8,276.0
259.0,275.8
259.8,275.0
260.0,274.8
261.0,274.8
261.8,274.0
261.8,273.0
262.0,272.8
262.8,272.0
263.0,271.8
263.8,271.0
263.8,270.0
263.8,269.0
263.8,268.0
263.8,267.0
264.0,266.8
265.0,266.8
265.8,266.0
265.8,265.0
266.0,264.8
266.8,264.0
267.0,263.8
267.8,263.0
268.0,262.8
269.0,262.8
269.8,262.0
269.8,261.0
270.0,260.8
271.0,260.8
271.8,260.0
271.8,259.0
272.0,258.8
273.0,258.8
273.8,258.0
273.8,257.0
274.0,256.8
275.0,256.8
275.2,257.0
275.2,258.0
276.0,258.8
277.0,258.8
278.0,258.8
279.0,258.8
279.2,259.0
279.2,260.0
280.0,260.8
281.0,260.8
282.0,260.8
283.0,260.8
284.0,260.8
285.0,260.8
285.8,260.0
285.8,259.0
285.0,258.2
284.8,258.0
285.0,257.8
285.8,257.0
285.8,256.0
285.8,255.0
286.0,254.8
287.0,254.8
288.0,254.8
289.0,254.8
290.0,254.8
290.2,255.0
291.0,255.8
291.2,256.0
292.0,256.8
293.0,256.8
294.0,256.8
295.0,256.8
296.0,256.8
297.0,256.8
298.0,256.8
299.0,256.8
300.0,256.8
301.0,256.8
302.0,256.8
303.0,256.8
304.0,256.8
305.0,256.8
306.0,256.8
307.0,256.8
308.0,256.8
309.0,256.8
309.8,256.0
309.8,255.0
310.0,254.8
311.0,254.8
312.0,254.8
312.8,254.0
313.0,253.8
313.8,253.0
314.0,252.8
315.0,252.8
316.0,252.8
317.0,252.8
317.8,252.0
317.8,251.0
318.0,250.8
318.8,250.0
319.0,249.8
319.8,249.0
319.8,248.0
319.8,247.0
319.0,246.2
318.0,246.2
317.0,246.2
316.0,246.2
315.8,246.0
315.0,245.2
314.8,245.0
314.0,244.2
313.8,244.0
313.8,243.0
313.0,242.2
312.0,242.2
311.0,242.2
310.0,242.2
309.0,242.2
308.0,242.2
307.0,242.2
306.0,242.2
305.0,242.2
304.0,242.2
303.0,242.2
302.0,242.2
301.0,242.2
300.0,242.2
299.0,242.2
298.0,242.2
297.0,242.2
296.0,242.2
295.0,242.2
294.0,242.2
293.0,242.2
292.0,242.2
291.0,242.2
290.0,242.2
289.8,242.0
289.8,241.0
289.0,240.2
288.0,240.2
287.0,240.2
286.8,240.0
286.0,239.2
285.2,240.0
285.0,240.2
284.0,240.2
283.2,241.0
283.2,242.0
283.0,242.2
282.0,242.2
281.2,243.0
281.2,244.0
281.0,244.2
280.0,244.2
279.0,244.2
278.0,244.2
277.0,244.2
276.0,244.2
275.0,244.2
274.0,244.2
273.0,244.2
272.0,244.2
271.2,245.0
271.2,246.0
271.0,246.2
270.0,246.2
269.0,246.2
268.0,246.2
267.0,246.2
266.0,246.2
265.0,246.2
264.0,246.2
263.0,246.2
262.0,246.2
261.0,246.2
260.0,246.2
259.2,247.0
259.2,248.0
259.0,248.2
258.0,248.2
257.0,248.2
256.0,248.2
255.0,248.2
254.2,249.0
254.0,249.2
253.2,250.0
253.0,250.2
252.0,250.2
251.0,250.2
250.0,250.2
249.2,251.0
249.2,252.0
249.0,252.2
248.0,252.2
247.0,252.2
246.2,253.0
246.0,253.2
245.2,254.0
245.2,255.0
245.0,255.2
244.0,255.2
243.2,256.0
243.0,256.2
242.2,257.0
242.0,257.2
241.2,258.0
241.0,258.2
240.8,258.0
240.0,257.2
239.2,258.0
239.0,258.2
238.2,259.0
238.0,259.2
237.2,260.0
237.0,260.2
236.2,261.0
236.0,261.2
235.2,262.0
235.0,262.2
234.0,262.2
233.0,262.2
232.2,263.0
232.0,263.2
231.2,264.0
231.0,264.2
230.2,265.0
230.0,265.2
229.2,266.0
229.2,267.0
229.0,267.2
228.0,267.2
227.2,268.0
227.2,269.0
227.0,269.2
226.2,270.0
226.0,270.2
225.2,271.0
225.0,271.2
224.0,271.2
223.2,272.0
223.0,272.2
222.2,273.0
222.0,273.2
221.2,274.0
221.2,275.0
221.0,275.2
220.0,275.2
219.2,276.0
219.2,277.0
219.2,278.0
219.0,278.2
218.2,279.0
218.0,279.2
217.2,280.0
217.0,280.2
216.2,281.0
216.0,281.2
215.2,282.0
215.2,283.0
215.2,284.0
215.0,284.2
214.0,284.2
213.2,285.0
213.2,286.0
213.2,287.0
213.2,288.0
213.0,288.2
212.2,289.0
212.0,289.2
211.2,290.0
211.2,291.0
211.2,292.0
211.0,292.2
210.2,293.0
210.0,293.2
209.2,294.0
209.2,295.0
209.2,296.0
209.0,296.2
208.2,297.0
208.0,297.2
207.2,298.0
207.2,299.0
207.2,300.0
207.2,301.0
207.2,302.0
207.0,302.2
206.2,303.0
206.0,303.2
205.2,304.0
205.2,305.0
205.2,306.0
205.2,307.0
205.2,308.0
205.0,308.2
204.2,309.0
204.0,309.2
203.2,310.0
203.2,311.0
203.2,312.0
203.2,313.0
203.2,314.0
203.2,315.0
203.2,316.0
203.0,316.2
202.2,317.0
202.0,317.2
201.2,318.0
201.2,319.0
201.2,320.0
201.2,321.0
201.2,322.0
201.0,322.2
200.2,323.0
200.0,323.2
199.2,324.0
199.2,325.0
199.2,326.0
199.2,327.0
199.2,328.0
199.2,329.0
199.2,330.0
199.2,331.0
199.2,332.0
199.2,333.0
199.2,334.0
199.0,334.2
198.2,335.0
198.0,335.2
197.2,336.0
197.2,337.0
197.2,338.0
197.2,339.0
197.2,340.0
197.2,341.0
197.2,342.0
197.2,343.0
197.2,344.0
197.2,345.0
197.2,346.0
197.2,347.0
197.2,348.0
197.2,349.0
197.2,350.0
197.2,351.0
197.2,352.0
197.2,353.0
197.2,354.0
197.2,355.0
197.2,356.0
197.2,357.0
197.2,358.0
197.2,359.0
197.2,360.0
197.2,361.0
197.2,362.0
197.2,363.0
197.2,364.0
197.2,365.0
197.2,366.0
197.2,367.0
197.2,368.0
197.2,369.0
197.2,370.0
197.2,371.0
197.2,372.0
197.2,373.0
198.0,373.8
198.2,374.0
199.0,374.8
199.2,375.0
199.2,376.0
199.2,377.0
199.2,378.0
199.2,379.0
199.2,380.0
200.0,380.8
201.0,380.8
201.2,381.0
201.2,382.0
202.0,382.8
203.0,382.8
203.2,383.0
203.2,384.0
203.2,385.0
203.2,386.0
203.2,387.0
203.2,388.0
204.0,388.8
205.0,388.8
205.2,389.0
205.2,390.0
205.2,391.0
205.2,392.0
205.2,393.0
205.2,394.0
205.2,395.0
206.0,395.8
206.2,396.0
207.0,396.8
207.2,397.0
207.2,398.0
207.2,399.0
207.2,400.0
207.2,401.0
208.0,401.8
208.2,402.0
209.0,402.8
209.2,403.0
209.2,404.0
209.2,405.0
210.0,405.8
210.2,406.0
211.0,406.8
211.2,407.0
211.2,408.0
211.2,409.0
212.0,409.8
212.2,410.0
213.0,410.8
213.2,411.0
213.2,412.0
213.2,413.0
214.0,413.8
214.2,414.0
215.0,414.8
215.2,415.0
215.2,416.0
216.0,416.8
216.2,417.0
216.2,418.0
217.0,418.8
217.2,419.0
218.0,419.8
218.2,420.0
219.0,420.8
219.2,421.0
219.2,422.0
219.2,423.0
220.0,423.8
220.2,424.0
221.0,424.8
221.2,425.0
222.0,425.8
222.2,426.0
223.0,426.8
223.2,427.0
223.2,428.0
223.2,429.0
224.0,429.8
224.2,430.0
225.0,430.8
225.2,431.0
226.0,431.8
226.2,432.0
227.0,432.8
227.2,433.0
228.0,433.8
228.2,434.0
229.0,434.8
229.2,435.0
230.0,435.8
230.2,436.0
231.0,436.8
231.2,437.0
232.0,437.8
232.2,438.0
233.0,438.8
233.2,439.0
234.0,439.8
234.2,440.0
235.0,440.8
235.2,441.0
236.0,441.8
236.2,442.0
237.0,442.8
237.2,443.0
238.0,443.8
238.2,444.0
239.0,444.8
239.2,445.0
240.0,445.8
241.0,445.8
241.2,446.0
241.2,447.0
242.0,447.8
242.2,448.0
243.0,448.8
243.2,449.0
244.0,449.8
244.2,450.0
245.0,450.8
245.2,451.0
246.0,451.8
246.2,452.0
247.0,452.8
248.0,452.8
248.2,453.0
248.0,453.2
247.2,454.0
248.0,454.8
249.0,454.8
249.2,455.0
250.0,455.8
250.2,456.0
251.0,456.8
252.0,456.8
252.2,457.0
252.2,458.0
253.0,458.8
253.2,459.0
254.0,459.8
254.2,460.0
255.0,460.8
256.0,460.8
257.0,460.8
257.2,461.0
258.0,461.8
258.2,462.0
259.0,462.8
259.2,463.0
259.2,464.0
260.0,464.8
261.0,464.8
261.2,465.0
261.2,466.0
261.2,467.0
261.2,468.0
262.0,468.8
263.0,468.8
263.2,469.0
263.2,470.0
264.0,470.8
265.0,470.8
266.0,470.8
