"","Girth","Height","Volume","Tree.Height.m"
"1",8.3,70,10.3,12.7211560046001
"2",8.6,65,10.3,11.8125020042715
"3",8.8,63,10.2,11.3354891545933
"4",10.5,72,16.4,21.190752383685
"5",10.7,81,18.8,27.5746492533899
"6",10.8,83,19.7,29.7183025037727
"7",11,66,15.6,18.4275311068398
"8",11,75,18.2,24.6587453292141
"9",11.1,80,22.6,33.3007859346751
"10",11.2,75,19.9,27.1496209860107
"11",11.3,79,24.2,35.5040077499704
"12",11.4,76,21,29.1736666626916
"13",11.4,76,21.4,29.7840743134927
"14",11.7,69,21.3,26.9019758483602
"15",12,75,19.1,25.9710785500556
"16",12.9,74,22.2,30.1988406190748
"17",12.9,85,33.8,56.9025403793869
"18",13.3,86,27.4,44.5781658597082
"19",13.7,71,25.7,34.1699924392032
"20",13.8,64,24.9,29.7078109010713
"21",14,78,34.5,53.6079147709258
"22",14.2,80,31.7,49.4090070288792
"23",14.5,74,36.3,54.3584040864238
"24",16,72,38.3,56.8621736902423
"25",16.3,77,42.6,70.8051296188421
"26",17.3,81,55.4,117.416184350247
"27",17.5,82,55.7,120.207504651053
"28",17.9,80,58.3,129.531038667894
"29",18,80,51.5,100.573783913516
"30",18,80,51,98.7917725228041
"31",20.6,87,77,376.838401062722
